County_Name,Real_GDP_in_thousands_of_chained_2012_dollars_per_capita_2018
Autauga,26.71229719
Baldwin,26.50519382
Barbour,31.65909456
Bibb,16.28278267
Blount,14.69792803
Bullock,24.00068803
Butler,29.07065356
Calhoun,34.55262352
Chambers,57.77431548
Cherokee,19.14403783
Chilton,18.9726015
Choctaw,42.68471908
Clarke,32.80035956
Clay,25.51873025
Cleburne,19.58820786
Coffee,28.30148219
Colbert,50.10250164
Conecuh,36.58037748
Coosa,16.64032698
Covington,31.03669526
Crenshaw,29.52759494
Cullman,30.55152365
Dale,50.98007855
Dallas,30.68185617
DeKalb,24.76527511
Elmore,20.91306119
Escambia,32.08865404
Etowah,27.32133982
Fayette,20.17859532
Franklin,28.30950859
Geneva,19.75306014
Greene,28.73114874
Hale,18.98711777
Henry,19.08303733
Houston,41.5146416
Jackson,25.55857112
Jefferson,63.349284
Lamar,21.32646593
Lauderdale,26.6412466
Lawrence,17.09747731
Lee,36.74522779
Limestone,34.19223931
Lowndes,41.44114698
Macon,23.86905737
Madison,59.14799294
Marengo,34.50393577
Marion,27.03361345
Marshall,31.83670583
Mobile,43.20502624
Monroe,29.3543823
Montgomery,55.7753064
Morgan,41.77818511
Perry,20.22403528
Pickens,19.55785786
Pike,39.38096384
Randolph,18.82360188
Russell,25.48909733
St. Clair,19.90831773
Shelby,47.85777636
Sumter,25.85926864
Talladega,35.44173104
Tallapoosa,29.26209449
Tuscaloosa,43.40725522
Walker,32.32995649
Washington,48.73125229
Wilcox,35.70317955
Winston,28.17097877
Aleutians East,59.38497791
Aleutians West,62.61968085
Anchorage,69.97753002
Bethel,34.31527526
Bristol Bay,148.1147727
Denali,116.7632874
Dillingham,49.77599679
Fairbanks North Star,57.36406432
Haines,39.77451768
Hoonah-Angoon,38.61531323
Juneau,71.73624247
Kenai Peninsula,47.95920493
Ketchikan Gateway,57.78897229
Kodiak Island,53.96550943
Kusilvak,17.42112219
Lake and Peninsula,55.21553885
Matanuska-Susitna,21.15864258
Nome,39.46026062
North Slope,1062.897766
Northwest Arctic,90.5595269
Petersburg,53.07583231
Prince of Wales-Hyder,34.4740566
Sitka,51.85012859
Skagway,81.56201882
Southeast Fairbanks,91.96237567
Valdez-Cordova,254.5152276
Wrangell,37.08431836
Yakutat,47.68456376
Yukon-Koyukuk,51.04105244
Apache,36.517949
Cochise,34.83980033
Coconino,47.50420634
Gila,36.90148882
Graham,28.8980129
Greenlee,187.4638019
La Paz,28.63296735
Maricopa,50.15214032
Mohave,24.2150345
Navajo,32.07077158
Pima,38.60035464
