County_Name,hiv_rate
Autauga,219
Baldwin,166
Barbour,420
Bibb,196
Blount,99
Bullock,632
Butler,311
Calhoun,226
Chambers,387
Cherokee,116
Chilton,110
Choctaw,231
Clarke,159
Clay,174
Cleburne,120
Coffee,152
Colbert,99
Conecuh,310
Coosa,146
Covington,155
Crenshaw,223
Cullman,78
Dale,244
Dallas,422
DeKalb,88
Elmore,222
Escambia,222
Etowah,187
Fayette,99
Franklin,53
Geneva,151
Greene,378
Hale,436
Henry,212
Houston,366
Jackson,74
Jefferson,621
Lamar,134
Lauderdale,91
Lawrence,81
Lee,197
Limestone,129
Lowndes,606
Macon,496
Madison,236
Marengo,195
Marion,113
Marshall,115
Mobile,510
Monroe,213
Montgomery,749
Morgan,140
Perry,272
Pickens,280
Pike,356
Randolph,57
Russell,417
St. Clair,142
Shelby,155
Sumter,323
Talladega,268
Tallapoosa,188
Tuscaloosa,246
Walker,143
Washington,85
Wilcox,275
Winston,53
Aleutians East,
Aleutians West,
Anchorage,
Bethel,
Bristol Bay,
Denali,
Dillingham,
Fairbanks North Star,
Haines,
Hoonah-Angoon,
Juneau,
Kenai Peninsula,
Ketchikan Gateway,
Kodiak Island,
Kusilvak,
Lake and Peninsula,
Matanuska-Susitna,
Nome,
North Slope,
Northwest Arctic,
Petersburg,
Prince of Wales-Hyder,
Sitka,
Skagway,
Southeast Fairbanks,
Valdez-Cordova,
Wrangell,
Yakutat,
Yukon-Koyukuk,
Apache,193
Cochise,186
Coconino,113
Gila,94
Graham,72
Greenlee,78
La Paz,144
Maricopa,309
Mohave,130
Navajo,150
Pima,281
Pinal,253
Santa Cruz,132
Yavapai,126
Yuma,154
Arkansas,230
Ashley,105
Baxter,91
Benton,121
Boone,67
Bradley,110
Calhoun,155
Carroll,260
Chicot,384
Clark,154
Clay,70
Cleburne,101
Cleveland,128
Columbia,157
Conway,160
Craighead,168
Crawford,105
Crittenden,522
Cross,169
Dallas,
Desha,175
Drew,139
Faulkner,143
Franklin,101
Fulton,97
Garland,231
Grant,138
Greene,103
Hempstead,134
Hot Spring,241
Howard,110
Independence,117
Izard,118
Jackson,263
Jefferson,477
Johnson,60
Lafayette,99
Lawrence,49
Lee,616
Lincoln,339
Little River,209
Logan,65
Lonoke,97
Madison,104
Marion,105
Miller,295
Mississippi,204
Monroe,260
Montgomery,89
Nevada,113
Newton,88
Ouachita,253
Perry,103
Phillips,309
Pike,65
Poinsett,110
Polk,65
Pope,99
Prairie,184
Pulaski,563
Randolph,61
St. Francis,319
Saline,83
Scott,
Searcy,
Sebastian,198
Sevier,89
Sharp,68
Stone,64
Union,352
Van Buren,
Washington,170
White,110
Woodruff,141
Yell,123
Alameda,408
Alpine,
Amador,
Butte,124
Calaveras,99
Colusa,34
Contra Costa,256
Del Norte,94
El Dorado,116
Fresno,233
Glenn,75
Humboldt,175
Imperial,198
Inyo,163
Kern,212
Kings,132
Lake,266
Lassen,84
Los Angeles,565
Madera,141
Marin,355
Mariposa,135
Mendocino,227
Merced,121
Modoc,
Mono,49
Monterey,192
Napa,227
Nevada,117
Orange,246
Placer,100
Plumas,108
Riverside,385
Sacramento,328
San Benito,82
San Bernardino,224
San Diego,454
San Francisco,1589
San Joaquin,214
San Luis Obispo,159
San Mateo,238
Santa Barbara,153
Santa Clara,184
Santa Cruz,196
Shasta,125
Sierra,265
Siskiyou,150
Solano,328
Sonoma,331
Stanislaus,154
Sutter,110
Tehama,83
Trinity,123
Tulare,114
Tuolumne,92
Ventura,136
Yolo,135
Yuba,131
Adams,240
Alamosa,132
Arapahoe,284
Archuleta,80
Baca,
Bent,98
Boulder,161
Broomfield,101
Chaffee,52
Cheyenne,
Clear Creek,192
Conejos,91
Costilla,187
Crowley,358
Custer,
Delta,53
Denver,962
Dolores,
Douglas,84
Eagle,138
Elbert,83
El Paso,154
Fremont,283
Garfield,120
Gilpin,152
Grand,90
Gunnison,69
Hinsdale,
Huerfano,154
Jackson,0
Jefferson,164
Kiowa,0
Kit Carson,
Lake,
La Plata,94
Larimer,88
Las Animas,204
Lincoln,147
Logan,79
Mesa,107
Mineral,0
Moffat,84
Montezuma,100
Montrose,72
Morgan,101
Otero,79
Ouray,0
Park,155
Phillips,
Pitkin,156
Prowers,51
Pueblo,147
Rio Blanco,
Rio Grande,105
Routt,79
Saguache,165
San Juan,
San Miguel,
Sedgwick,
Summit,183
Teller,71
Washington,
Weld,89
Yuma,171
Fairfield,325
Hartford,373
Litchfield,144
Middlesex,202
New Haven,437
New London,220
Tolland,90
Windham,189
Kent,289
New Castle,430
Sussex,331
District of Columbia,2459
Alachua,423
Baker,467
Bay,289
Bradford,298
Brevard,297
Broward,1176
Calhoun,220
Charlotte,201
Citrus,167
Clay,190
Collier,288
Columbia,476
DeSoto,478
Dixie,335
Duval,761
Escambia,475
Flagler,185
Franklin,211
Gadsden,690
Gilchrist,122
Glades,668
Gulf,188
Hamilton,1303
Hardee,284
Hendry,377
Hernando,211
Highlands,248
Hillsborough,572
Holmes,156
Indian River,273
Jackson,1058
Jefferson,920
Lafayette,147
Lake,297
Lee,333
Leon,489
Levy,260
Liberty,274
Madison,874
Manatee,307
Marion,340
Martin,276
Miami-Dade,1123
Monroe,833
Nassau,170
Okaloosa,234
Okeechobee,375
Orange,732
Osceola,406
Palm Beach,628
Pasco,232
Pinellas,511
Polk,400
Putnam,377
St. Johns,159
St. Lucie,596
Santa Rosa,199
Sarasota,240
Seminole,302
Sumter,245
Suwannee,506
Taylor,945
Union,2305
Volusia,352
Wakulla,353
Walton,129
Washington,751
Appling,185
Atkinson,194
Bacon,487
Baker,432
Baldwin,308
Banks,122
Barrow,141
Bartow,188
Ben Hill,149
Berrien,311
Bibb,783
Bleckley,434
Brantley,157
Brooks,408
Bryan,105
Bulloch,355
Burke,441
Butts,401
Calhoun,518
Camden,198
Candler,347
Carroll,181
Catoosa,90
Charlton,236
Chatham,701
Chattahoochee,107
Chattooga,306
Cherokee,145
Clarke,319
Clay,704
Clayton,862
Clinch,488
Cobb,459
Coffee,254
Colquitt,500
Columbia,145
Cook,334
Coweta,197
Crawford,190
Crisp,602
Dade,121
Dawson,118
Decatur,666
DeKalb,1203
Dodge,475
Dooly,320
Dougherty,939
Douglas,341
Early,259
Echols,
Effingham,134
Elbert,192
Emanuel,328
Evans,478
Fannin,167
Fayette,191
Floyd,240
Forsyth,72
Franklin,111
Fulton,1577
Gilmer,151
Glascock,197
Glynn,424
Gordon,117
Grady,329
Greene,130
Gwinnett,351
Habersham,110
Hall,140
Hancock,326
Haralson,112
Harris,129
Hart,175
Heard,164
Henry,324
Houston,264
Irwin,526
Jackson,95
Jasper,191
Jeff Davis,49
Jefferson,396
Jenkins,456
Johnson,283
Jones,100
Lamar,267
Lanier,176
Laurens,458
Lee,184
Liberty,380
Lincoln,221
Long,88
Lowndes,581
Lumpkin,80
McDuffie,228
McIntosh,306
Macon,376
Madison,99
Marion,180
Meriwether,258
Miller,306
Mitchell,427
Monroe,186
Montgomery,235
Morgan,202
Murray,104
Muscogee,605
Newton,362
Oconee,62
Oglethorpe,112
Paulding,141
Peach,422
Pickens,136
Pierce,126
Pike,46
Polk,117
Pulaski,284
Putnam,152
Quitman,538
Rabun,109
Randolph,505
Richmond,848
Rockdale,405
Schley,140
Screven,353
Seminole,292
Spalding,338
Stephens,166
Stewart,910
Sumter,462
Talbot,411
Taliaferro,
Tattnall,418
Taylor,412
Telfair,551
Terrell,459
Thomas,370
Tift,459
Toombs,350
Towns,
Treutlen,412
Troup,205
Turner,441
Twiggs,240
Union,133
Upson,253
Walker,162
Walton,188
Ware,519
Warren,481
Washington,281
Wayne,328
Webster,
Wheeler,525
White,92
Whitfield,166
Wilcox,679
Wilkes,288
Wilkinson,225
Worth,386
Hawaii,224
Honolulu,189
Kalawao,
Kauai,
Maui,219
Ada,50
Adams,0
Bannock,45
Bear Lake,0
Benewah,
Bingham,59
Blaine,43
Boise,
Bonner,60
Bonneville,32
Boundary,51
Butte,0
Camas,0
Canyon,36
Caribou,0
Cassia,
Clark,0
Clearwater,
Custer,0
Elmore,52
Franklin,0
Fremont,
Gem,35
Gooding,65
Idaho,35
Jefferson,
Jerome,28
Kootenai,62
Latah,44
Lemhi,
Lewis,
Lincoln,
Madison,
Minidoka,
Nez Perce,44
Oneida,
Owyhee,
Payette,37
Power,
Shoshone,47
Teton,
Twin Falls,22
Valley,
Washington,0
Adams,84
Alexander,354
Bond,61
Boone,74
Brown,150
Bureau,84
Calhoun,
Carroll,39
Cass,
Champaign,196
Christian,133
Clark,82
Clay,
Clinton,122
Coles,78
Cook,587
Crawford,249
Cumberland,54
DeKalb,79
De Witt,
Douglas,
DuPage,82
Edgar,60
Edwards,
Effingham,28
Fayette,269
Ford,53
Franklin,66
Fulton,186
Gallatin,
Greene,53
Grundy,24
Hamilton,
Hancock,32
Hardin,0
Henderson,
Henry,52
Iroquois,79
Jackson,82
Jasper,
Jefferson,127
Jersey,31
Jo Daviess,63
Johnson,519
Kane,78
Kankakee,139
Kendall,39
Knox,189
Lake,130
LaSalle,79
Lawrence,63
Lee,87
Livingston,270
Logan,311
McDonough,75
McHenry,46
McLean,107
Macon,158
Macoupin,72
Madison,86
Marion,50
Marshall,59
Mason,
Massac,
Menard,104
Mercer,82
Monroe,28
Montgomery,156
Morgan,71
Moultrie,
Ogle,64
Peoria,226
Perry,243
Piatt,
Pike,
Pope,
Pulaski,230
Putnam,
Randolph,174
Richland,
Rock Island,220
St. Clair,314
Saline,
Sangamon,173
Schuyler,
Scott,0
Shelby,27
Stark,0
Stephenson,111
Tazewell,45
Union,48
Vermilion,190
Wabash,
Warren,
Washington,
Wayne,43
White,59
Whiteside,
Will,100
Williamson,91
Winnebago,160
Woodford,58
Adams,
Allen,175
Bartholomew,81
Benton,84
Blackford,88
Boone,75
Brown,91
Carroll,
Cass,81
Clark,218
Clay,91
Clinton,65
Crawford,
Daviess,69
Dearborn,40
Decatur,63
DeKalb,51
Delaware,123
Dubois,45
Elkhart,100
Fayette,55
Floyd,161
Fountain,
Franklin,36
Fulton,59
Gibson,78
Grant,119
Greene,62
Hamilton,81
Hancock,81
Harrison,65
Hendricks,113
Henry,132
Howard,152
Huntington,84
Jackson,154
Jasper,96
Jay,75
Jefferson,80
Jennings,26
Johnson,130
Knox,88
Kosciusko,52
LaGrange,30
Lake,244
LaPorte,163
Lawrence,98
Madison,157
Marion,579
Marshall,39
Martin,82
Miami,140
Monroe,155
Montgomery,99
Morgan,83
Newton,67
Noble,58
Ohio,
Orange,79
Owen,89
Parke,139
Perry,124
Pike,
Porter,101
Posey,46
Pulaski,46
Putnam,164
Randolph,123
Ripley,38
Rush,57
St. Joseph,238
Scott,779
Shelby,70
Spencer,28
Starke,51
Steuben,51
Sullivan,89
Switzerland,125
Tippecanoe,94
Tipton,53
Union,
Vanderburgh,190
Vermillion,
Vigo,226
Wabash,40
Warren,
Warrick,54
Washington,102
Wayne,128
Wells,39
White,99
Whitley,50
Adair,
Adams,
Allamakee,43
Appanoose,47
Audubon,
Benton,93
Black Hawk,94
Boone,71
Bremer,38
Buchanan,52
Buena Vista,121
Butler,
Calhoun,
Carroll,89
Cass,
Cedar,64
Cerro Gordo,62
Cherokee,
Chickasaw,49
Clarke,
Clay,65
Clayton,60
Clinton,81
Crawford,71
Dallas,64
Davis,
Decatur,73
Delaware,
Des Moines,69
Dickinson,47
Dubuque,78
Emmet,
Fayette,52
Floyd,
Franklin,
Fremont,
Greene,66
Grundy,
Guthrie,
Hamilton,63
Hancock,
Hardin,60
Harrison,
Henry,65
Howard,
Humboldt,
Ida,
Iowa,51
Jackson,42
Jasper,90
Jefferson,
Johnson,135
Jones,98
Keokuk,
Kossuth,
Lee,37
Linn,132
Louisa,64
Lucas,83
Lyon,
Madison,84
Mahaska,65
Marion,54
Marshall,79
Mills,103
Mitchell,
Monona,
Monroe,76
Montgomery,105
Muscatine,54
O'Brien,
Osceola,
Page,75
Palo Alto,
Plymouth,57
Pocahontas,
Polk,190
Pottawattamie,112
Poweshiek,63
Ringgold,
Sac,0
Scott,144
Shelby,
Sioux,21
Story,54
Tama,77
Taylor,
Union,67
Van Buren,
Wapello,91
Warren,39
Washington,71
Wayne,0
Webster,57
Winnebago,
Winneshiek,
Woodbury,108
Worth,
Wright,46
Allen,
Anderson,
Atchison,
Barber,
Barton,
Bourbon,
Brown,
Butler,147
Chase,
Chautauqua,
Cherokee,
Cheyenne,
Clark,
Clay,
Cloud,
Coffey,
Comanche,
Cowley,
Crawford,
Decatur,
Dickinson,
Doniphan,
Douglas,83
Edwards,
Elk,
Ellis,
Ellsworth,
Finney,
Ford,
Franklin,
Geary,
Gove,
Graham,
Grant,
Gray,
Greeley,
Greenwood,
Hamilton,
Harper,
Harvey,
Haskell,
Hodgeman,
Jackson,
Jefferson,
Jewell,
Johnson,127
Kearny,
Kingman,
Kiowa,
Labette,
Lane,
Leavenworth,218
Lincoln,
Linn,
Logan,
Lyon,
McPherson,
Marion,
Marshall,
Meade,
Miami,
Mitchell,
Montgomery,
Morris,
Morton,
Nemaha,
Neosho,
Ness,
Norton,
Osage,
Osborne,
Ottawa,
Pawnee,
Phillips,
Pottawatomie,
Pratt,
Rawlins,
Reno,60
Republic,
Rice,
Riley,27
Rooks,
Rush,
Russell,
Saline,
Scott,
Sedgwick,186
Seward,
Shawnee,154
Sheridan,
Sherman,
Smith,
Stafford,
Stanton,
Stevens,
Sumner,
Thomas,
Trego,
Wabaunsee,
Wallace,
Washington,
Wichita,
Wilson,
Woodson,
Wyandotte,292
Adair,
Allen,
Anderson,
Ballard,
Barren,
Bath,
Bell,
Boone,104
Bourbon,
Boyd,
Boyle,
Bracken,
Breathitt,
Breckinridge,
Bullitt,50
Butler,
Caldwell,
Calloway,
Campbell,139
Carlisle,
Carroll,
Carter,
Casey,
Christian,173
Clark,
Clay,
Clinton,
Crittenden,
Cumberland,
Daviess,119
Edmonson,
Elliott,
Estill,
Fayette,330
Fleming,
Floyd,
Franklin,
Fulton,
Gallatin,
Garrard,
Grant,
Graves,
Grayson,
Green,
Greenup,
Hancock,
Hardin,162
Harlan,
Harrison,
Hart,
Henderson,
Henry,
Hickman,
Hopkins,
Jackson,
Jefferson,431
Jessamine,
Johnson,
Kenton,183
Knott,
Knox,
Larue,
Laurel,73
Lawrence,
Lee,
Leslie,
Letcher,
Lewis,
Lincoln,
Livingston,
Logan,
Lyon,
McCracken,227
McCreary,
McLean,
Madison,88
Magoffin,
Marion,
Marshall,
Martin,
Mason,
Meade,
Menifee,
Mercer,
Metcalfe,
Monroe,
Montgomery,
Morgan,
Muhlenberg,
Nelson,
Nicholas,
Ohio,
Oldham,201
Owen,
Owsley,
Pendleton,
Perry,
Pike,35
Powell,
Pulaski,70
Robertson,
Rockcastle,
Rowan,
Russell,
Scott,
Shelby,
Simpson,
Spencer,
Taylor,
Todd,
Trigg,
Trimble,
Union,
Warren,143
Washington,
Wayne,
Webster,
Whitley,
Wolfe,
Woodford,
Acadia,220
Allen,813
Ascension,240
Assumption,140
Avoyelles,494
Beauregard,150
Bienville,286
Bossier,204
Caddo,560
Calcasieu,392
Caldwell,226
Cameron,
Catahoula,348
Claiborne,690
Concordia,302
De Soto,253
East Baton Rouge,1025
East Carroll,355
East Feliciana,1056
Evangeline,254
Franklin,265
Grant,254
Iberia,201
Iberville,1019
Jackson,157
