County_Name,daily_pm25
Autauga,11
Baldwin,10
Barbour,11
Bibb,11
Blount,11
Bullock,11
Butler,10
Calhoun,11
Chambers,11
Cherokee,11
Chilton,11
Choctaw,10
Clarke,10
Clay,10
Cleburne,11
Coffee,10
Colbert,10
Conecuh,10
Coosa,11
Covington,10
Crenshaw,10
Cullman,11
Dale,11
Dallas,11
DeKalb,11
Elmore,11
Escambia,10
Etowah,11
Fayette,10
Franklin,10
Geneva,10
Greene,10
Hale,10
Henry,10
Houston,10
Jackson,11
Jefferson,13
Lamar,10
Lauderdale,11
Lawrence,11
Lee,12
Limestone,11
Lowndes,10
Macon,11
Madison,11
Marengo,10
Marion,10
Marshall,11
Mobile,10
Monroe,10
Montgomery,11
Morgan,11
Perry,10
Pickens,10
Pike,11
Randolph,11
Russell,12
St. Clair,12
Shelby,12
Sumter,10
Talladega,11
Tallapoosa,11
Tuscaloosa,11
Walker,11
Washington,10
Wilcox,10
Winston,11
Aleutians East,
Aleutians West,
Anchorage,
Bethel,
Bristol Bay,
Denali,
Dillingham,
Fairbanks North Star,
Haines,
Hoonah-Angoon,
Juneau,
Kenai Peninsula,
Ketchikan Gateway,
Kodiak Island,
Kusilvak,
Lake and Peninsula,
Matanuska-Susitna,
Nome,
North Slope,
Northwest Arctic,
Petersburg,
Prince of Wales-Hyder,
Sitka,
Skagway,
Southeast Fairbanks,
Valdez-Cordova,
Wrangell,
Yakutat,
Yukon-Koyukuk,
Apache,5
Cochise,7
Coconino,5
Gila,5
Graham,6
Greenlee,5
La Paz,5
Maricopa,10
Mohave,5
Navajo,5
Pima,7
Pinal,11
Santa Cruz,7
Yavapai,5
Yuma,8
Arkansas,10
Ashley,9
Baxter,9
Benton,10
Boone,9
Bradley,9
Calhoun,9
Carroll,9
Chicot,10
Clark,10
Clay,10
Cleburne,10
Cleveland,9
Columbia,9
Conway,10
Craighead,10
Crawford,10
Crittenden,10
Cross,10
Dallas,9
Desha,10
Drew,9
Faulkner,10
Franklin,9
Fulton,9
Garland,9
Grant,10
Greene,10
Hempstead,10
Hot Spring,10
Howard,10
Independence,10
Izard,9
Jackson,10
Jefferson,10
Johnson,9
Lafayette,9
Lawrence,10
Lee,10
Lincoln,10
Little River,10
Logan,9
Lonoke,10
Madison,9
Marion,9
Miller,10
Mississippi,10
Monroe,10
Montgomery,9
Nevada,10
Newton,8
Ouachita,9
Perry,10
Phillips,10
Pike,9
Poinsett,10
Polk,9
Pope,10
Prairie,10
Pulaski,10
Randolph,10
St. Francis,10
Saline,10
Scott,9
Searcy,9
Sebastian,10
Sevier,9
Sharp,10
Stone,9
Union,9
Van Buren,9
Washington,9
White,10
Woodruff,10
Yell,10
Alameda,10
Alpine,5
Amador,8
Butte,8
Calaveras,9
Colusa,8
Contra Costa,11
Del Norte,8
El Dorado,9
Fresno,15
Glenn,9
Humboldt,8
Imperial,13
Inyo,7
Kern,19
Kings,16
Lake,6
Lassen,7
Los Angeles,14
Madera,14
Marin,10
Mariposa,9
Mendocino,8
Merced,12
Modoc,6
Mono,6
Monterey,6
Napa,10
Nevada,8
Orange,10
Placer,10
Plumas,9
Riverside,14
