County_Name,personal_income_per_capita
Autauga,41618
Baldwin,45596
Barbour,35199
Bibb,30254
Blount,34976
Bullock,28797
Butler,36450
Calhoun,37120
Chambers,33859
Cherokee,35505
Chilton,34798
Choctaw,39280
Clarke,36361
Clay,33530
Cleburne,36159
Coffee,43094
Colbert,38378
Conecuh,32656
Coosa,31328
Covington,35651
Crenshaw,36645
Cullman,39607
Dale,36613
Dallas,36026
DeKalb,31916
Elmore,42269
Escambia,32996
Etowah,36918
Fayette,34966
Franklin,34318
Geneva,35192
Greene,32359
Hale,36585
Henry,40360
Houston,42398
Jackson,36567
Jefferson,54730
Lamar,33496
Lauderdale,37151
Lawrence,34125
Lee,38036
Limestone,42546
Lowndes,38991
Macon,32919
Madison,51445
Marengo,39801
Marion,33264
Marshall,36044
Mobile,38243
Monroe,33456
Montgomery,43688
Morgan,39991
Perry,30535
Pickens,32551
Pike,37359
Randolph,32411
Russell,33104
St. Clair,38569
Shelby,54369
Sumter,31664
Talladega,34718
Tallapoosa,40696
Tuscaloosa,38822
Walker,40197
Washington,36323
Wilcox,32215
Winston,35430
Aleutians East,56676
Aleutians West,54385
Anchorage,66510
Bethel,43500
Bristol Bay,143575
Denali,82919
Dillingham,59621
Fairbanks North Star,56606
Haines,67059
Hoonah-Angoon,61752
Juneau,68145
Kenai Peninsula,52015
Ketchikan Gateway,67602
Kodiak Island,63938
Kusilvak,30099
Lake and Peninsula,65414
Matanuska-Susitna,45897
Nome,51378
North Slope,83489
Northwest Arctic,47854
Petersburg,69995
Prince of Wales-Hyder,43707
Sitka,71972
Skagway,81471
Southeast Fairbanks,49398
Valdez-Cordova,62307
Wrangell,47658
Yakutat,58937
Yukon-Koyukuk,59010
Apache,34355
Cochise,40308
Coconino,48129
Gila,40267
Graham,31597
Greenlee,39855
La Paz,30948
Maricopa,47694
Mohave,33148
Navajo,32165
Pima,44028
Pinal,30644
Santa Cruz,39057
Yavapai,40312
Yuma,35682
Arkansas,45290
Ashley,34813
Baxter,37106
Benton,88890
Boone,36089
Bradley,39491
Calhoun,34426
Carroll,33690
Chicot,36293
Clark,36314
Clay,34149
Cleburne,38307
Cleveland,40344
Columbia,38749
Conway,38191
Craighead,37531
Crawford,32952
Crittenden,36978
Cross,35949
Dallas,34645
Desha,37828
Drew,37148
Faulkner,37598
Franklin,34275
Fulton,28994
Garland,40004
Grant,38201
Greene,34895
Hempstead,32515
Hot Spring,30580
Howard,35292
Independence,35086
Izard,30608
Jackson,35880
Jefferson,35356
Johnson,28970
Lafayette,36292
Lawrence,35126
Lee,27619
Lincoln,27002
Little River,34086
Logan,34490
Lonoke,38764
Madison,35496
Marion,30743
Miller,33401
Mississippi,31428
Monroe,32651
Montgomery,30834
Nevada,34180
Newton,28808
Ouachita,36907
Perry,34877
Phillips,31128
Pike,33113
Poinsett,32315
Polk,30751
Pope,35261
Prairie,35935
Pulaski,51185
Randolph,33486
St. Francis,27948
Saline,41397
Scott,31401
Searcy,28511
Sebastian,42110
Sevier,31436
Sharp,32012
Stone,31086
Union,46474
Van Buren,31176
Washington,40247
White,35445
Woodruff,37545
Yell,33320
Alameda,76644
Alpine,73307
Amador,44793
Butte,44346
Calaveras,49893
Colusa,49094
Contra Costa,82506
Del Norte,37268
El Dorado,67464
Fresno,43084
Glenn,48613
Humboldt,48739
Imperial,36974
Inyo,61358
Kern,39703
Kings,35306
Lake,43185
Lassen,37844
Los Angeles,62224
Madera,39897
Marin,134275
Mariposa,53143
Mendocino,50150
Merced,38519
Modoc,44822
Mono,51325
Monterey,56193
Napa,74984
Nevada,61799
Orange,69268
Placer,66700
Plumas,53599
Riverside,40637
Sacramento,52544
San Benito,53822
San Bernardino,40316
San Diego,61386
San Francisco,130696
San Joaquin,44995
San Luis Obispo,58491
San Mateo,126392
Santa Barbara,62690
Santa Clara,107877
Santa Cruz,69355
Shasta,46582
Sierra,46615
Siskiyou,45065
Solano,51664
Sonoma,64501
Stanislaus,44120
Sutter,44535
Tehama,42483
Trinity,40640
Tulare,40420
Tuolumne,47838
Ventura,61712
Yolo,54118
Yuba,40929
Adams,43315
Alamosa,37351
Arapahoe,60180
Archuleta,41947
Baca,40968
Bent,27574
Boulder,73394
Broomfield,66410
Chaffee,46998
Cheyenne,56699
Clear Creek,61300
Conejos,36894
Costilla,34282
Crowley,19141
Custer,41681
Delta,38855
Denver,79849
Dolores,34935
Douglas,73662
Eagle,78152
Elbert,57334
El Paso,48467
Fremont,35435
Garfield,59653
Gilpin,48128
Grand,49845
Gunnison,47149
Hinsdale,50698
Huerfano,42459
Jackson,49723
Jefferson,63536
Kiowa,50117
Kit Carson,37274
Lake,37106
La Plata,55807
Larimer,54188
Las Animas,40765
Lincoln,28828
Logan,48161
Mesa,44935
Mineral,71095
Moffat,42130
Montezuma,42998
Montrose,39930
Morgan,45685
Otero,38190
Ouray,59639
Park,45113
Phillips,44399
Pitkin,149207
Prowers,42259
Pueblo,39511
Rio Blanco,46809
Rio Grande,46717
Routt,83702
Saguache,30172
San Juan,44029
San Miguel,85432
Sedgwick,49004
Summit,67763
Teller,49197
Washington,44687
Weld,46172
Yuma,50364
Fairfield,120630
Hartford,64853
Litchfield,64949
Middlesex,68673
New Haven,56650
New London,59264
Tolland,56614
Windham,47264
Kent,42023
New Castle,56745
Sussex,50333
Alachua,44390
Baker,32313
Bay,43231
Bradford,33557
Brevard,45425
Broward,50269
Calhoun,26873
Charlotte,41564
Citrus,37920
Clay,42909
Collier,92686
Columbia,35074
DeSoto,23610
Dixie,27956
Duval,46174
Escambia,42537
Flagler,46220
Franklin,35988
Gadsden,35139
Gilchrist,33774
Glades,24467
Gulf,35701
Hamilton,26016
Hardee,28285
Hendry,31071
Hernando,36878
Highlands,33453
Hillsborough,47000
Holmes,30468
Indian River,76059
