County_Name,County_GDP_PCT_Change_in_2018
Autauga,4.3
Baldwin,4.5
Barbour,5.6
Bibb,2.9
Blount,4.3
Bullock,4.6
Butler,2.9
Calhoun,2.3
Chambers,0.2
Cherokee,8
Chilton,3.9
Choctaw,8.5
Clarke,1.7
Clay,4.8
Cleburne,3.2
Coffee,4.3
Colbert,1.7
Conecuh,-1.5
Coosa,5.9
Covington,1.1
Crenshaw,1.2
Cullman,2.3
Dale,1.9
Dallas,1.6
DeKalb,4.8
Elmore,2.5
Escambia,0.8
Etowah,2.1
Fayette,1.4
Franklin,4.3
Geneva,4.7
Greene,4.7
Hale,-2
Henry,2.2
Houston,2.6
Jackson,1.4
Jefferson,3
Lamar,2.3
Lauderdale,3
Lawrence,8.9
Lee,2
Limestone,0.1
Lowndes,-0.4
Macon,2.3
Madison,4.2
Marengo,1.1
Marion,4
Marshall,4
Mobile,1.4
Monroe,1.3
Montgomery,1.4
Morgan,3.2
Perry,-4.4
Pickens,0.4
Pike,-0.5
Randolph,2.2
Russell,3.2
St. Clair,2.7
Shelby,3.9
Sumter,-2.7
Talladega,3.4
Tallapoosa,3.5
Tuscaloosa,3
Walker,6
Washington,3.1
Wilcox,1.3
Winston,2.6
Aleutians East,0
Aleutians West,1.7
Anchorage,1.7
Bethel,2.8
Bristol Bay,14.1
Denali,1.1
Dillingham,2.4
Fairbanks North Star,1.3
Haines,3.1
Hoonah-Angoon,1.6
Juneau,0.1
Kenai Peninsula,0.7
Ketchikan Gateway,1.1
Kodiak Island,0.5
Kusilvak,2
Lake and Peninsula,4.7
Matanuska-Susitna,2.6
Nome,1
North Slope,-6.8
Northwest Arctic,2.3
Petersburg,-2.1
Prince of Wales-Hyder,-1.3
Sitka,3.2
Skagway,-0.4
Southeast Fairbanks,-0.4
Valdez-Cordova,7.3
Wrangell,1.4
Yakutat,5
Yukon-Koyukuk,5.9
Apache,3
Cochise,3.4
Coconino,0.3
Gila,0.3
Graham,7.2
Greenlee,0.4
La Paz,3.4
Maricopa,4.5
Mohave,3.4
Navajo,4.6
Pima,3.6
Pinal,5.6
Santa Cruz,5
Yavapai,3.5
Yuma,1.2
Arkansas,1.7
Ashley,1.3
Baxter,2.6
Benton,3.1
Boone,3
Bradley,2
Calhoun,5.8
Carroll,0.4
Chicot,-4.1
Clark,0.5
Clay,-2.7
Cleburne,-9.4
Cleveland,4
Columbia,-0.4
Conway,-6.1
Craighead,2.8
Crawford,1.6
Crittenden,-0.1
Cross,0.4
Dallas,-1.7
Desha,0.6
Drew,0.6
Faulkner,1.6
Franklin,1.8
Fulton,4.1
Garland,1.6
Grant,3.2
Greene,2.1
Hempstead,-0.7
Hot Spring,-1.2
Howard,0.7
Independence,5.6
Izard,2
Jackson,1.4
Jefferson,-0.5
Johnson,-0.7
Lafayette,-4.3
Lawrence,5.8
Lee,4.3
Lincoln,4.3
Little River,-1.5
Logan,-2.3
Lonoke,1.2
Madison,1.5
Marion,1.6
Miller,2.5
Mississippi,5.7
Monroe,-3
Montgomery,1.4
Nevada,3.2
Newton,1.6
Ouachita,1.6
Perry,-0.4
Phillips,3.1
Pike,3.4
Poinsett,2.8
Polk,2.5
Pope,0.3
Prairie,0.8
Pulaski,2.1
Randolph,5.6
St. Francis,-0.8
Saline,3.1
Scott,1.8
Searcy,1.9
Sebastian,1.4
Sevier,3
Sharp,-1.6
Stone,3.8
Union,3
Van Buren,-12.9
Washington,1.6
White,-1.1
Woodruff,3
Yell,2.4
Alameda,3.9
Alpine,9
Amador,3.9
Butte,2.4
Calaveras,-0.8
Colusa,13.7
Contra Costa,2.6
Del Norte,3.8
El Dorado,3.1
Fresno,4.4
Glenn,13.4
Humboldt,2.8
Imperial,-1.8
Inyo,0.8
Kern,-0.7
Kings,3.1
Lake,3.4
Lassen,1.3
Los Angeles,3.2
Madera,6.6
Marin,4.6
Mariposa,1.8
Mendocino,3.1
Merced,-0.7
Modoc,3.6
Mono,-3.5
Monterey,2.7
Napa,5.2
Nevada,2.9
Orange,2.8
Placer,4.7
Plumas,-5.2
Riverside,3.5
Sacramento,3.3
San Benito,0.5
San Bernardino,3.2
San Diego,4.1
San Francisco,7.4
San Joaquin,4.4
San Luis Obispo,2.5
San Mateo,5.2
Santa Barbara,3.7
Santa Clara,10.2
Santa Cruz,1.8
Shasta,0.3
Sierra,12.4
Siskiyou,-2
Solano,2
Sonoma,4.2
Stanislaus,5.3
Sutter,4.8
Tehama,5.2
Trinity,2.8
Tulare,3.6
Tuolumne,-4.9
Ventura,1.3
Yolo,3
Yuba,1.2
Adams,4.3
Alamosa,2.6
Arapahoe,3.2
Archuleta,0.8
Baca,7.9
Bent,1.2
Boulder,2.9
Broomfield,-3.8
Chaffee,4.5
Cheyenne,-6.5
Clear Creek,-1.8
Conejos,9.8
Costilla,2.8
Crowley,-17.6
Custer,1.5
Delta,4.8
Denver,4.5
Dolores,-16.7
Douglas,3.4
Eagle,2
Elbert,7.2
El Paso,3.4
Fremont,2.3
Garfield,-1.3
Gilpin,-4.9
Grand,4.3
Gunnison,1.6
Hinsdale,0.8
Huerfano,0.9
Jackson,20.2
Jefferson,3.6
Kiowa,-18.6
Kit Carson,18
Lake,4.2
La Plata,-3.7
Larimer,4.2
Las Animas,-1.7
Lincoln,-1.3
Logan,-2.6
Mesa,4.7
Mineral,5.5
Moffat,-3.7
Montezuma,-11.1
Montrose,4
Morgan,2.1
Otero,2.6
Ouray,1.9
Park,4.5
Phillips,5.4
Pitkin,1.6
Prowers,8
Pueblo,2.5
Rio Blanco,-2.4
Rio Grande,2.6
Routt,1.7
Saguache,2.8
San Juan,0.2
San Miguel,3.8
Sedgwick,-1.7
Summit,2.1
Teller,-2.6
Washington,20.8
Weld,9.4
Yuma,-13.9
Fairfield,0.4
Hartford,-0.5
Litchfield,2.9
Middlesex,-0.6
New Haven,1.7
New London,1
Tolland,1.4
Windham,1.2
Kent,1.2
New Castle,-0.5
Sussex,1.1
Alachua,3.5
Baker,3.5
Bay,1.9
Bradford,3.6
Brevard,4.3
Broward,2.8
Calhoun,4.3
Charlotte,3.4
Citrus,2.8
Clay,4
Collier,4.1
Columbia,1.9
DeSoto,-7.7
Dixie,1.5
Duval,2.5
Escambia,2.8
Flagler,2.5
Franklin,2.2
Gadsden,2.1
Gilchrist,4
Glades,1.3
Gulf,0.3
Hamilton,3.8
Hardee,-5.6
Hendry,-2.5
Hernando,4.7
Highlands,-0.3
Hillsborough,3.4
Holmes,-3.4
Indian River,4.2
Jackson,3.2
Jefferson,-1.6
Lafayette,1.6
Lake,4.5
Lee,3.2
Leon,3
Levy,-9.5
Liberty,3.4
Madison,2.7
Manatee,3.7
Marion,3.5
Martin,3.3
Miami-Dade,3.2
Monroe,1.6
Nassau,3.7
Okaloosa,3.3
Okeechobee,-9.7
Orange,4
Osceola,2.8
Palm Beach,2.4
Pasco,3.1
Pinellas,3.8
Polk,3.1
Putnam,1.1
St. Johns,4.7
St. Lucie,2.4
Santa Rosa,4.1
Sarasota,4.7
Seminole,5.1
Sumter,3.6
Suwannee,2.8
Taylor,-0.4
Union,-2.2
Volusia,2.9
Wakulla,1.9
Walton,3.1
Washington,3.1
Appling,-0.7
Atkinson,5.3
Bacon,-1
Baker,7
Baldwin,0.9
Banks,2.2
Barrow,5.1
Bartow,2.7
Ben Hill,0.4
Berrien,4.1
Bibb,3
Bleckley,2.6
Brantley,3.3
Brooks,3.6
Bryan,5.5
Bulloch,1.1
Burke,3
Butts,2.5
Calhoun,-7.5
Camden,1.8
Candler,3.4
Carroll,3.4
Catoosa,2.6
Charlton,-2.4
Chatham,3.2
Chattahoochee,-0.4
Chattooga,2.2
Cherokee,3.5
Clarke,2.1
Clay,14.3
Clayton,-1.5
Clinch,1.8
Cobb,2.6
Coffee,3.9
Colquitt,2.5
Columbia,3.8
Cook,7.2
Coweta,6.3
Crawford,-5.4
Crisp,0.7
Dade,8.9
Dawson,3.9
Decatur,-1.3
DeKalb,3.4
Dodge,0.5
Dooly,1.4
Dougherty,2
Douglas,6
Early,1.6
Echols,0.8
Effingham,2.6
Elbert,2.5
Emanuel,-2.9
Evans,2.7
Fannin,4.9
Fayette,4.2
Floyd,0.3
Forsyth,2.8
Franklin,3.4
Fulton,2.4
Gilmer,3.5
Glascock,0.8
Glynn,3.6
Gordon,2.7
Grady,2.5
Greene,2.3
Gwinnett,2.4
Habersham,3.6
Hall,3.8
Hancock,1.1
Haralson,2.9
Harris,3.8
Hart,9.9
Heard,-11.4
Henry,4.1
Houston,2.5
Irwin,4.2
Jackson,4.2
Jasper,2.2
Jeff Davis,2.8
Jefferson,-0.2
Jenkins,3.8
Johnson,2.8
Jones,-6.3
Lamar,2.9
Lanier,-1.2
Laurens,-0.5
Lee,0.9
Liberty,0.2
Lincoln,0.8
Long,3.7
Lowndes,2.4
Lumpkin,3.2
McDuffie,2.2
McIntosh,2
Macon,0.1
Madison,5.1
Marion,-0.1
Meriwether,3.5
Miller,1.2
Mitchell,0.2
Monroe,6.4
Montgomery,2.6
Morgan,3.6
Murray,-3.3
Muscogee,1.6
Newton,-0.3
Oconee,4.4
Oglethorpe,2.5
Paulding,3.5
Peach,3.9
Pickens,3.5
Pierce,2.9
Pike,2.7
Polk,3.9
Pulaski,4.1
Putnam,0.9
Quitman,5.5
Rabun,2.6
Randolph,0.4
Richmond,1.1
Rockdale,1.3
Schley,3
Screven,5.1
Seminole,-1.1
Spalding,1.6
Stephens,1.1
Stewart,6.9
Sumter,0.9
Talbot,12.9
Taliaferro,5.8
Tattnall,0.3
Taylor,-2.5
Telfair,2.2
Terrell,1.1
Thomas,1.4
Tift,3
Toombs,1.6
Towns,4.9
Treutlen,2
Troup,0.5
Turner,0.3
Twiggs,17.4
Union,3.3
Upson,2.6
Walker,2.3
Walton,2.8
Ware,0.6
Warren,13.9
Washington,1.3
Wayne,2.1
Webster,3.5
Wheeler,2.8
White,2.9
Whitfield,1.4
Wilcox,-1
Wilkes,0.2
Wilkinson,4.9
Worth,2.4
Hawaii,3.3
Honolulu,2
Kalawao,
Kauai,6.1
Maui,3
Ada,4.9
Adams,6.3
Bannock,1.7
Bear Lake,1.7
Benewah,1.3
Bingham,3.5
Blaine,2.5
Boise,31.2
Bonner,3.9
Bonneville,4.2
Boundary,1.4
Butte,1.9
Camas,0.3
Canyon,3.8
Caribou,1.2
Cassia,10.4
