County_Name,Natural_increase_in_population
Autauga,83
Baldwin,-22
Barbour,-56
Bibb,-12
Blount,-6
Bullock,0
Butler,-59
Calhoun,-263
Chambers,-87
Cherokee,-121
Chilton,48
Choctaw,-43
Clarke,-58
Clay,-44
Cleburne,-2
Coffee,29
Colbert,-89
Conecuh,-59
Coosa,-33
Covington,-130
Crenshaw,-42
Cullman,-60
Dale,102
Dallas,-104
DeKalb,-24
Elmore,111
Escambia,-54
Etowah,-312
Fayette,-51
Franklin,65
Geneva,-87
Greene,3
Hale,9
Henry,-46
Houston,167
Jackson,-113
Jefferson,1079
Lamar,-13
Lauderdale,-260
Lawrence,-79
Lee,692
Limestone,150
Lowndes,-25
Macon,-92
Madison,937
Marengo,-67
Marion,-103
Marshall,240
Mobile,867
Monroe,-79
Montgomery,894
Morgan,86
Perry,-26
Pickens,-30
Pike,6
Randolph,-31
Russell,202
St. Clair,8
Shelby,611
Sumter,-27
Talladega,-200
Tallapoosa,-149
Tuscaloosa,559
Walker,-219
Washington,-26
Wilcox,-29
Winston,-82
Aleutians East,1
Aleutians West,31
Anchorage,2076
Bethel,253
Bristol Bay,1
Denali,5
Dillingham,45
Fairbanks North Star,1027
Haines,13
Hoonah-Angoon,2
Juneau,163
Kenai Peninsula,124
Ketchikan Gateway,65
Kodiak Island,115
Kusilvak,130
Lake and Peninsula,21
Matanuska-Susitna,722
Nome,96
North Slope,94
Northwest Arctic,77
Petersburg,1
Prince of Wales-Hyder,6
Sitka,19
Skagway,-6
Southeast Fairbanks,74
Valdez-Cordova,60
Wrangell,-13
Yakutat,3
Yukon-Koyukuk,7
Apache,232
Cochise,36
Coconino,612
Gila,-297
Graham,203
Greenlee,95
La Paz,-119
Maricopa,19699
Mohave,-1623
Navajo,330
Pima,692
Pinal,1238
Santa Cruz,303
Yavapai,-1260
Yuma,1278
Arkansas,-10
Ashley,-38
Baxter,-346
Benton,1924
Boone,-53
Bradley,-14
Calhoun,-9
Carroll,-4
Chicot,-39
Clark,-8
Clay,-42
Cleburne,-158
Cleveland,-13
Columbia,-17
Conway,14
Craighead,426
Crawford,100
Crittenden,188
Cross,-13
Dallas,-6
Desha,-37
Drew,30
Faulkner,596
Franklin,-12
Fulton,-67
Garland,-276
Grant,-16
Greene,82
Hempstead,58
Hot Spring,-18
Howard,1
Independence,83
Izard,-69
Jackson,-19
Jefferson,-39
Johnson,74
Lafayette,-33
Lawrence,-55
Lee,-39
Lincoln,-46
Little River,-40
Logan,-61
Lonoke,168
Madison,66
Marion,-137
Miller,49
Mississippi,82
Monroe,-47
Montgomery,-60
Nevada,-2
Newton,-24
Ouachita,-89
Perry,-21
Phillips,12
Pike,-28
Poinsett,-24
Polk,-71
Pope,172
Prairie,-36
Pulaski,1272
Randolph,-20
St. Francis,-10
Saline,180
Scott,-5
Searcy,-38
Sebastian,504
Sevier,97
Sharp,-47
Stone,-55
Union,-70
Van Buren,-109
Washington,1604
White,44
Woodruff,-32
Yell,14
Alameda,7684
Alpine,5
Amador,-120
Butte,-105
Calaveras,-131
Colusa,153
Contra Costa,3592
Del Norte,6
El Dorado,-75
Fresno,7039
Glenn,120
Humboldt,-38
Imperial,1649
Inyo,19
Kern,6666
Kings,1434
Lake,-117
Lassen,79
Los Angeles,44799
Madera,1048
Marin,151
Mariposa,-31
Mendocino,73
Merced,2299
Modoc,-29
Mono,96
Monterey,3055
Napa,-44
Nevada,-208
Orange,14888
Placer,241
Plumas,-56
Riverside,11334
Sacramento,6824
San Benito,450
San Bernardino,14118
San Diego,17551
San Francisco,2509
San Joaquin,4137
San Luis Obispo,23
San Mateo,3238
Santa Barbara,2102
Santa Clara,10455
Santa Cruz,655
Shasta,-320
Sierra,-12
Siskiyou,-143
Solano,1377
Sonoma,130
Stanislaus,3076
Sutter,433
Tehama,78
Trinity,-43
Tulare,3823
Tuolumne,-155
Ventura,2920
Yolo,829
Yuba,566
Adams,3569
Alamosa,83
Arapahoe,3456
Archuleta,34
Baca,-9
Bent,-21
Boulder,674
Broomfield,238
Chaffee,-44
Cheyenne,4
Clear Creek,16
Conejos,13
Costilla,3
Crowley,-5
Custer,-7
Delta,-111
Denver,4377
Dolores,1
Douglas,1979
Eagle,430
Elbert,48
El Paso,4667
