County_Name,Net_migration_rate_of_population
Autauga,4.560061758
Baldwin,24.38056719
Barbour,-5.165664474
Bibb,1.831951922
Blount,1.124596659
Bullock,-7.200986436
Butler,-6.294941017
Calhoun,-4.044995086
Chambers,-7.748227481
Cherokee,11.60697184
Chilton,4.944068811
Choctaw,-15.81307529
Clarke,-9.970551115
Clay,-1.055448754
Cleburne,-6.483957219
Coffee,7.057108887
Colbert,5.96852465
Conecuh,-13.62945934
Coosa,5.162864921
Covington,6.216048215
Crenshaw,-0.7971881
Cullman,4.952567799
Dale,-1.44433708
Dallas,-26.41409458
DeKalb,1.875174923
Elmore,1.134262113
Escambia,4.510846536
Etowah,-0.244046486
Fayette,-5.618835313
Franklin,0.031918289
Geneva,2.09216958
Greene,-12.37745098
Hale,-7.210884354
Henry,4.537785793
Houston,8.991132294
Jackson,2.343893769
Jefferson,-2.905913648
Lamar,-4.695344385
Lauderdale,4.208640663
Lawrence,2.004099294
Lee,1.163931529
Limestone,26.41830521
Lowndes,-22.74111675
Macon,-8.848827943
Madison,13.38265445
Marengo,-6.645744877
Marion,2.186380531
Marshall,3.814578323
Mobile,-3.760043912
Monroe,-12.0110061
Montgomery,-4.03540917
Morgan,3.332189114
Perry,-13.56082921
Pickens,-0.95214232
Pike,-3.948399542
Randolph,1.188144954
Russell,-0.397425375
St. Clair,9.552888879
Shelby,7.006935389
Sumter,-14.36494952
Talladega,0.574587016
Tallapoosa,-0.395540283
Tuscaloosa,2.308020131
Walker,1.163613492
Washington,-3.116597409
Wilcox,-18.78695403
Winston,0.803009171
Aleutians East,-17.82531194
Aleutians West,-6.741174384
Anchorage,-15.93027738
Bethel,-4.698811638
Bristol Bay,-52.44755245
Denali,28.57834827
Dillingham,-24.22529525
Fairbanks North Star,-28.11466937
Haines,11.15982463
Hoonah-Angoon,-4.18312805
Juneau,-7.092530971
Kenai Peninsula,0.443424946
Ketchikan Gateway,-1.296970134
Kodiak Island,-27.96403536
Kusilvak,-16.70974334
Lake and Peninsula,-15.6838143
Matanuska-Susitna,4.474729845
Nome,-14.45879244
North Slope,-11.48257291
