County_Name,Net_migration_of_population
Autauga,254
Baldwin,5377
Barbour,-128
Bibb,41
Blount,65
Bullock,-73
Butler,-123
Calhoun,-461
Chambers,-259
Cherokee,303
Chilton,219
Choctaw,-201
Clarke,-237
Clay,-14
Cleburne,-97
Coffee,368
Colbert,329
Conecuh,-166
Coosa,55
Covington,230
Crenshaw,-11
Cullman,414
Dale,-71
Dallas,-997
DeKalb,134
Elmore,92
Escambia,165
Etowah,-25
Fayette,-92
Franklin,1
Geneva,55
Greene,-101
Hale,-106
Henry,78
Houston,947
Jackson,121
Jefferson,-1915
Lamar,-65
Lauderdale,390
Lawrence,66
Lee,191
Limestone,2577
Lowndes,-224
Macon,-161
Madison,4951
Marengo,-126
Marion,65
Marshall,368
Mobile,-1555
Monroe,-251
Montgomery,-914
Morgan,398
Perry,-122
Pickens,-19
Pike,-131
Randolph,27
Russell,-23
St. Clair,851
Shelby,1518
Sumter,-180
Talladega,46
Tallapoosa,-16
Tuscaloosa,482
Walker,74
Washington,-51
Wilcox,-197
Winston,19
Aleutians East,-60
Aleutians West,-38
Anchorage,-4608
Bethel,-86
Bristol Bay,-45
Denali,59
Dillingham,-120
Fairbanks North Star,-2747
Haines,28
Hoonah-Angoon,-9
Juneau,-227
Kenai Peninsula,26
Ketchikan Gateway,-18
Kodiak Island,-367
Kusilvak,-139
Lake and Peninsula,-25
Matanuska-Susitna,482
Nome,-145
North Slope,-113
Northwest Arctic,-149
Petersburg,21
Prince of Wales-Hyder,-164
Sitka,-80
Skagway,20
Southeast Fairbanks,-117
Valdez-Cordova,-19
Wrangell,-25
Yakutat,-21
Yukon-Koyukuk,-137
Apache,-75
Cochise,-529
Coconino,338
Gila,513
Graham,637
Greenlee,-44
La Paz,191
Maricopa,62997
Mohave,4478
Navajo,355
Pima,10005
Pinal,14667
Santa Cruz,-201
Yavapai,4564
Yuma,903
Arkansas,-232
Ashley,-317
Baxter,655
Benton,4930
Boone,103
Bradley,-61
Calhoun,-29
Carroll,290
Chicot,-285
Clark,16
Clay,-170
Cleburne,84
Cleveland,-26
Columbia,-111
Conway,9
Craighead,1091
Crawford,-222
Crittenden,-598
Cross,-200
Dallas,-135
Desha,-109
Drew,-139
Faulkner,273
Franklin,-35
Fulton,237
Garland,699
Grant,101
Greene,-94
Hempstead,-212
Hot Spring,118
Howard,-101
Independence,-24
Izard,115
Jackson,-14
Jefferson,-1208
Johnson,-154
Lafayette,-21
Lawrence,29
Lee,-80
Lincoln,-112
Little River,3
Logan,-146
Lonoke,-254
Madison,147
Marion,168
Miller,-151
Mississippi,-671
Monroe,-133
Montgomery,137
Nevada,-54
Newton,-22
Ouachita,-147
Perry,97
Phillips,-285
Pike,82
Poinsett,-352
Polk,18
Pope,307
Prairie,17
Pulaski,-1262
Randolph,7
St. Francis,-506
Saline,1188
Scott,-53
Searcy,-9
Sebastian,-245
Sevier,-152
Sharp,201
Stone,107
Union,-387
Van Buren,20
Washington,966
White,333
Woodruff,-112
Yell,-135
Alameda,-3086
Alpine,36
Amador,468
Butte,-11146
Calaveras,338
Colusa,-23
Contra Costa,-581
Del Norte,68
El Dorado,2185
Fresno,131
Glenn,306
Humboldt,-642
Imperial,-1967
Inyo,75
Kern,-210
Kings,123
Lake,189
Lassen,-126
Los Angeles,-79758
Madera,-603
Marin,-984
Mariposa,-170
Mendocino,-720
Merced,1237
Modoc,70
Mono,-56
Monterey,-2940
Napa,-998
Nevada,462
Orange,-15180
Placer,5766
Plumas,123
Riverside,13473
Sacramento,6498
San Benito,888
San Bernardino,-752
San Diego,-12998
San Francisco,-1596
San Joaquin,5529
San Luis Obispo,-252
San Mateo,-5343
Santa Barbara,-1371
Santa Clara,-15012
Santa Cruz,-1280
Shasta,707
Sierra,20
Siskiyou,135
Solano,557
Sonoma,-4437
Stanislaus,-535
Sutter,195
Tehama,985
Trinity,-240
Tulare,-2230
Tuolumne,252
Ventura,-5053
Yolo,-455
Yuba,542
Adams,2487
Alamosa,-97
Arapahoe,1342
Archuleta,264
Baca,6
Bent,-213
Boulder,896
Broomfield,896
Chaffee,360
Cheyenne,-32
Clear Creek,79
Conejos,13
Costilla,73
Crowley,109
Custer,140
Delta,387
Denver,6510
Dolores,-7
Douglas,6166
Eagle,-246
Elbert,379
El Paso,3625
Fremont,65
Garfield,-40
Gilpin,117
Grand,180
Gunnison,233
Hinsdale,13
Huerfano,58
Jackson,-11
Jefferson,2255
Kiowa,20
Kit Carson,-67
Lake,220
La Plata,-180
Larimer,5175
Las Animas,42
Lincoln,77
Logan,121
Mesa,1137
Mineral,-6
Moffat,11
Montezuma,49
Montrose,558
Morgan,101
Otero,-42
Ouray,142
Park,300
Phillips,-5
Pitkin,-287
Prowers,51
Pueblo,1033
Rio Blanco,-26
Rio Grande,-5
Routt,57
Saguache,-25
San Juan,-37
San Miguel,-38
Sedgwick,-9
Summit,-4
Teller,297
Washington,20
Weld,7141
Yuma,30
Fairfield,-3343
Hartford,-1734
Litchfield,-299
Middlesex,-122
New Haven,-2858
New London,-1059
Tolland,-54
Windham,-267
Kent,1874
New Castle,-132
Sussex,5292
Alachua,-504
Baker,807
Bay,-11803
Bradford,509
Brevard,8938
Broward,902
Calhoun,-409
Charlotte,5834
Citrus,3601
Clay,3045
Collier,7391
Columbia,1069
DeSoto,604
Dixie,229
Duval,4941
Escambia,2930
Flagler,3558
Franklin,460
Gadsden,-262
Gilchrist,321
Glades,188
Gulf,-2463
Hamilton,130
Hardee,-378
Hendry,467
Hernando,4580
Highlands,2057
Hillsborough,14449
Holmes,225
Indian River,3612
Jackson,-1577
Jefferson,-50
Lafayette,-259
Lake,11377
Lee,17226
Leon,899
Levy,844
Liberty,-67
Madison,16
Manatee,9664
Marion,8151
Martin,1033
Miami-Dade,-7158
Monroe,-477
Nassau,2798
Okaloosa,3037
Okeechobee,419
Orange,3925
Osceola,5249
Palm Beach,14460
Pasco,16082
Pinellas,6687
Polk,17311
Putnam,681
St. Johns,10711
St. Lucie,8259
Santa Rosa,4719
Sarasota,10669
Seminole,2676
Sumter,5212
Suwannee,356
Taylor,66
Union,-16
Volusia,9395
Wakulla,1261
Walton,3257
Washington,724
Appling,-152
Atkinson,-157
Bacon,-19
Baker,-56
Baldwin,69
Banks,202
Barrow,1993
Bartow,1070
Ben Hill,-94
Berrien,132
Bibb,-63
Bleckley,33
Brantley,119
Brooks,29
Bryan,1286
Bulloch,2019
Burke,-98
Butts,724
Calhoun,-169
Camden,616
Candler,-28
Carroll,1549
Catoosa,206
Charlton,468
Chatham,-690
Chattahoochee,91
Chattooga,18
Cherokee,3778
Clarke,531
Clay,-36
Clayton,831
Clinch,-10
Cobb,-360
Coffee,36
Colquitt,11
Columbia,1908
Cook,97
Coweta,1921
Crawford,113
Crisp,-213
Dade,-80
Dawson,943
Decatur,-198
DeKalb,-1359
Dodge,-161
Dooly,-289
Dougherty,-1553
Douglas,653
Early,-82
Echols,-7
Effingham,1749
Elbert,161
Emanuel,20
Evans,-47
Fannin,332
Fayette,1282
Floyd,543
Forsyth,6152
Franklin,327
Fulton,8559
Gilmer,585
Glascock,0
Glynn,326
Gordon,240
Grady,-178
Greene,641
Gwinnett,2289
Habersham,-132
Hall,1903
Hancock,159
Haralson,230
Harris,705
Hart,197
Heard,55
Henry,3920
Houston,1669
Irwin,30
Jackson,2337
Jasper,179
Jeff Davis,27
Jefferson,-14
Jenkins,-79
Johnson,-56
Jones,133
Lamar,138
Lanier,66
Laurens,157
Lee,164
Liberty,-146
Lincoln,16
Long,311
Lowndes,448
Lumpkin,725
McDuffie,-231
McIntosh,85
Macon,-178
Madison,231
Marion,-11
Meriwether,102
Miller,49
Mitchell,-281
Monroe,179
Montgomery,-11
Morgan,400
Murray,97
Muscogee,748
Newton,1859
Oconee,697
Oglethorpe,169
Paulding,3825
Peach,130
Pickens,627
Pierce,39
Pike,299
Polk,176
Pulaski,77
Putnam,360
Quitman,46
Rabun,347
Randolph,-26
Richmond,6
Rockdale,174
Schley,19
Screven,-14
Seminole,-158
Spalding,598
Stephens,-42
Stewart,215
Sumter,-313
Talbot,-67
Taliaferro,-61
Tattnall,-210
Taylor,-2
Telfair,-96
Terrell,-38
Thomas,105
Tift,-34
Toombs,-135
Towns,257
Treutlen,91
Troup,-283
Turner,59
Twiggs,16
Union,741
Upson,234
Walker,409
Walton,1153
Ware,127
Warren,14
Washington,-27
Wayne,116
Webster,0
Wheeler,-44
White,832
Whitfield,-89
Wilcox,-183
Wilkes,-33
Wilkinson,-65
Worth,-38
Hawaii,-216
Honolulu,-8691
Kalawao,0
Kauai,39
Maui,65
