County_Name,Numeric_change_in_resident_population
Autauga,336
Baldwin,5379
Barbour,-186
Bibb,27
Blount,55
Bullock,-73
Butler,-183
Calhoun,-726
Chambers,-346
Cherokee,182
Chilton,265
Choctaw,-244
Clarke,-296
Clay,-59
Cleburne,-100
Coffee,392
Colbert,237
Conecuh,-225
Coosa,20
Covington,96
Crenshaw,-53
Cullman,350
Dale,29
Dallas,-1098
DeKalb,106
Elmore,198
Escambia,109
Etowah,-343
Fayette,-143
Franklin,64
Geneva,-35
Greene,-98
Hale,-98
Henry,32
Houston,1112
Jackson,5
Jefferson,-856
Lamar,-77
Lauderdale,125
Lawrence,-17
Lee,886
Limestone,2738
Lowndes,-248
Macon,-253
Madison,5905
Marengo,-193
Marion,-41
Marshall,604
Mobile,-698
Monroe,-329
Montgomery,-18
Morgan,476
Perry,-147
Pickens,-50
Pike,-128
Randolph,-5
Russell,177
St. Clair,858
Shelby,2119
Sumter,-207
Talladega,-159
Tallapoosa,-168
Tuscaloosa,1036
Walker,-148
Washington,-76
Wilcox,-226
Winston,-64
Aleutians East,-58
Aleutians West,-6
Anchorage,-2521
Bethel,167
Bristol Bay,-44
Denali,65
Dillingham,-75
Fairbanks North Star,-1716
Haines,42
Hoonah-Angoon,-7
Juneau,-63
Kenai Peninsula,147
Ketchikan Gateway,45
Kodiak Island,-252
Kusilvak,-9
Lake and Peninsula,-4
Matanuska-Susitna,1202
Nome,-49
North Slope,-18
Northwest Arctic,-73
Petersburg,22
Prince of Wales-Hyder,-157
Sitka,-61
Skagway,14
Southeast Fairbanks,-44
Valdez-Cordova,41
Wrangell,-36
Yakutat,-17
Yukon-Koyukuk,-129
Apache,156
Cochise,-489
Coconino,953
Gila,217
Graham,842
Greenlee,50
La Paz,69
Maricopa,83011
Mohave,2889
Navajo,682
Pima,10725
Pinal,15983
Santa Cruz,103
Yavapai,3327
Yuma,2175
Arkansas,-240
Ashley,-355
Baxter,308
Benton,6875
Boone,47
Bradley,-75
Calhoun,-38
Carroll,283
Chicot,-324
Clark,7
Clay,-212
Cleburne,-75
Cleveland,-39
Columbia,-129
Conway,21
Craighead,1516
Crawford,-122
Crittenden,-408
Cross,-211
Dallas,-143
Desha,-146
Drew,-109
Faulkner,869
Franklin,-49
Fulton,169
Garland,420
Grant,85
Greene,-14
Hempstead,-153
Hot Spring,99
Howard,-100
Independence,57
Izard,47
Jackson,-34
Jefferson,-1243
Johnson,-81
Lafayette,-55
Lawrence,-26
Lee,-119
Lincoln,-160
Little River,-38
Logan,-207
Lonoke,-82
Madison,214
Marion,29
Miller,-105
Mississippi,-585
Monroe,-179
Montgomery,76
Nevada,-56
Newton,-47
Ouachita,-238
Perry,75
Phillips,-272
Pike,52
Poinsett,-375
Polk,-55
Pope,478
Prairie,-20
Pulaski,-7
Randolph,-12
St. Francis,-515
Saline,1363
Scott,-58
Searcy,-49
Sebastian,257
Sevier,-54
Sharp,152
Stone,52
Union,-457
Van Buren,-90
Washington,2576
White,372
Woodruff,-146
Yell,-121
Alameda,4573
Alpine,40
Amador,347
Butte,-11153
Calaveras,207
Colusa,129
Contra Costa,3007
Del Norte,72
El Dorado,2097
Fresno,7151
Glenn,426
Humboldt,-686
Imperial,-308
Inyo,93
Kern,6444
Kings,1558
Lake,69
Lassen,-45
Los Angeles,-34799
Madera,445
Marin,-836
Mariposa,-202
Mendocino,-652
Merced,3529
Modoc,41
Mono,41
Monterey,111
Napa,-1045
Nevada,247
Orange,-281
Placer,5999
Plumas,66
Riverside,24757
Sacramento,13312
San Benito,1341
San Bernardino,13332
San Diego,4469
San Francisco,853
San Joaquin,9657
San Luis Obispo,-243
San Mateo,-2108
Santa Barbara,719
Santa Clara,-4485
Santa Cruz,-628
Shasta,371
Sierra,8
Siskiyou,-11
Solano,1918
Sonoma,-4307
Stanislaus,2534
Sutter,623
Tehama,1066
Trinity,-282
Tulare,1606
Tuolumne,91
Ventura,-2136
Yolo,382
Yuba,1111
Adams,6067
Alamosa,-15
Arapahoe,4793
Archuleta,299
Baca,-3
Bent,-231
Boulder,1560
Broomfield,1141
Chaffee,315
Cheyenne,-28
Clear Creek,96
Conejos,24
