County_Name,pct_college
Autauga,62
Baldwin,67
Barbour,34
Bibb,44
Blount,53
Bullock,34
Butler,41
Calhoun,59
Chambers,48
Cherokee,51
Chilton,39
Choctaw,58
Clarke,38
Clay,35
Cleburne,45
Coffee,63
Colbert,54
Conecuh,36
Coosa,42
Covington,53
Crenshaw,44
Cullman,50
Dale,57
Dallas,50
DeKalb,45
Elmore,54
Escambia,37
Etowah,55
Fayette,52
Franklin,41
Geneva,43
Greene,50
Hale,46
Henry,53
Houston,59
Jackson,44
Jefferson,68
Lamar,52
Lauderdale,59
Lawrence,48
Lee,72
Limestone,58
Lowndes,35
Macon,56
Madison,73
Marengo,50
Marion,55
Marshall,52
Mobile,59
Monroe,40
Montgomery,62
Morgan,55
Perry,54
Pickens,53
Pike,59
Randolph,49
Russell,61
St. Clair,55
Shelby,76
Sumter,56
Talladega,52
Tallapoosa,49
Tuscaloosa,64
Walker,52
Washington,49
Wilcox,39
Winston,53
Aleutians East,49
Aleutians West,52
Anchorage,70
Bethel,35
Bristol Bay,61
Denali,72
Dillingham,48
Fairbanks North Star,72
Haines,71
Hoonah-Angoon,49
Juneau,76
Kenai Peninsula,58
Ketchikan Gateway,59
Kodiak Island,63
Kusilvak,24
Lake and Peninsula,51
Matanuska-Susitna,58
Nome,36
North Slope,49
Northwest Arctic,31
Petersburg,63
Prince of Wales-Hyder,51
Sitka,65
Skagway,73
Southeast Fairbanks,52
Valdez-Cordova,52
Wrangell,63
Yakutat,61
Yukon-Koyukuk,47
Apache,49
Cochise,65
Coconino,70
Gila,50
Graham,55
Greenlee,56
La Paz,41
Maricopa,65
Mohave,47
Navajo,51
Pima,66
Pinal,53
Santa Cruz,52
Yavapai,59
Yuma,55
Arkansas,54
Ashley,53
Baxter,61
Benton,61
Boone,59
Bradley,46
Calhoun,53
Carroll,45
Chicot,47
Clark,62
Clay,49
Cleburne,45
Cleveland,50
Columbia,56
Conway,51
Craighead,62
Crawford,55
Crittenden,55
Cross,48
Dallas,49
Desha,40
Drew,66
Faulkner,66
Franklin,58
Fulton,62
Garland,61
Grant,55
Greene,53
Hempstead,54
Hot Spring,51
Howard,54
Independence,58
Izard,51
Jackson,45
Jefferson,49
Johnson,39
Lafayette,50
Lawrence,57
Lee,35
Lincoln,30
Little River,49
Logan,48
Lonoke,60
Madison,35
Marion,52
Miller,56
Mississippi,46
Monroe,39
Montgomery,45
Nevada,51
Newton,43
Ouachita,56
Perry,53
Phillips,57
Pike,55
Poinsett,45
Polk,52
Pope,53
Prairie,62
Pulaski,68
Randolph,61
St. Francis,44
Saline,67
Scott,41
Searcy,45
Sebastian,51
Sevier,38
Sharp,48
Stone,49
Union,55
Van Buren,38
Washington,62
White,54
Woodruff,47
Yell,45
Alameda,75
Alpine,53
Amador,60
Butte,68
Calaveras,56
Colusa,49
Contra Costa,71
Del Norte,43
El Dorado,70
Fresno,54
Glenn,44
Humboldt,67
Imperial,52
Inyo,59
Kern,46
Kings,51
Lake,49
Lassen,37
Los Angeles,63
Madera,45
Marin,75
Mariposa,60
Mendocino,57
Merced,47
Modoc,48
Mono,61
Monterey,46
Napa,64
Nevada,73
Orange,69
Placer,78
Plumas,70
