County_Name,income_ratio
Autauga,5
Baldwin,4
Barbour,5
Bibb,4
Blount,4
Bullock,7
Butler,5
Calhoun,5
Chambers,4
Cherokee,4
Chilton,5
Choctaw,5
Clarke,8
Clay,5
Cleburne,4
Coffee,4
Colbert,4
Conecuh,4
Coosa,4
Covington,4
Crenshaw,5
Cullman,4
Dale,5
Dallas,6
DeKalb,4
Elmore,4
Escambia,5
Etowah,4
Fayette,4
Franklin,4
Geneva,4
Greene,5
Hale,6
Henry,4
Houston,5
Jackson,5
Jefferson,5
Lamar,5
Lauderdale,4
Lawrence,4
Lee,6
Limestone,5
Lowndes,6
Macon,6
Madison,5
Marengo,7
Marion,4
Marshall,4
Mobile,5
Monroe,8
Montgomery,5
Morgan,4
Perry,4
Pickens,5
Pike,6
Randolph,5
Russell,5
St. Clair,4
Shelby,4
Sumter,7
Talladega,5
Tallapoosa,5
Tuscaloosa,5
Walker,5
Washington,5
Wilcox,5
Winston,4
Aleutians East,4
Aleutians West,3
Anchorage,3
Bethel,5
Bristol Bay,3
Denali,3
Dillingham,4
Fairbanks North Star,3
Haines,4
Hoonah-Angoon,3
Juneau,3
Kenai Peninsula,4
Ketchikan Gateway,4
Kodiak Island,3
Kusilvak,4
Lake and Peninsula,4
Matanuska-Susitna,4
Nome,4
North Slope,4
Northwest Arctic,5
Petersburg,4
Prince of Wales-Hyder,4
Sitka,3
Skagway,2
Southeast Fairbanks,4
Valdez-Cordova,4
Wrangell,4
Yakutat,3
Yukon-Koyukuk,5
Apache,7
Cochise,4
Coconino,5
Gila,4
Graham,4
Greenlee,3
La Paz,5
Maricopa,4
Mohave,4
Navajo,5
Pima,4
Pinal,4
Santa Cruz,4
Yavapai,4
Yuma,4
Arkansas,5
Ashley,5
Baxter,3
Benton,4
Boone,4
Bradley,5
Calhoun,5
Carroll,3
Chicot,6
Clark,4
Clay,4
Cleburne,3
Cleveland,4
Columbia,5
Conway,4
Craighead,4
Crawford,4
Crittenden,4
Cross,4
Dallas,4
Desha,5
Drew,6
Faulkner,4
Franklin,5
Fulton,4
Garland,4
Grant,4
Greene,4
Hempstead,4
Hot Spring,4
Howard,4
Independence,4
Izard,4
Jackson,4
Jefferson,5
Johnson,4
Lafayette,6
Lawrence,4
Lee,6
Lincoln,5
Little River,5
Logan,4
Lonoke,4
Madison,4
Marion,4
Miller,4
Mississippi,4
Monroe,6
Montgomery,4
Nevada,4
Newton,4
Ouachita,5
Perry,3
Phillips,6
Pike,3
Poinsett,4
Polk,4
Pope,4
Prairie,4
Pulaski,5
Randolph,4
St. Francis,5
Saline,3
Scott,4
Searcy,4
Sebastian,4
Sevier,4
Sharp,4
Stone,4
Union,5
Van Buren,4
Washington,4
White,4
Woodruff,6
Yell,4
Alameda,5
Alpine,4
Amador,4
Butte,5
Calaveras,4
Colusa,4
Contra Costa,4
Del Norte,5
El Dorado,4
Fresno,5
Glenn,5
Humboldt,4
Imperial,5
Inyo,4
Kern,4
Kings,4
Lake,5
Lassen,4
Los Angeles,5
Madera,4
Marin,5
Mariposa,4
Mendocino,4
Merced,4
Modoc,4
Mono,3
Monterey,4
Napa,4
Nevada,4
Orange,4
Placer,4
Plumas,4
Riverside,4
Sacramento,4
San Benito,3
San Bernardino,4
San Diego,4
San Francisco,7
San Joaquin,4
San Luis Obispo,4
San Mateo,4
Santa Barbara,4
Santa Clara,4
Santa Cruz,5
Shasta,4
Sierra,5
Siskiyou,4
Solano,4
Sonoma,4
Stanislaus,4
Sutter,4
Tehama,4
Trinity,5
Tulare,4
Tuolumne,4
Ventura,4
Yolo,6
Yuba,4
Adams,3
Alamosa,5
Arapahoe,3
Archuleta,3
Baca,4
Bent,4
Boulder,5
Broomfield,3
Chaffee,4
Cheyenne,4
Clear Creek,3
Conejos,4
Costilla,4
Crowley,4
Custer,3
Delta,4
Denver,5
Dolores,4
Douglas,3
Eagle,3
Elbert,3
El Paso,4
Fremont,4
Garfield,3
Gilpin,3
Grand,3
Gunnison,4
Hinsdale,4
Huerfano,4
Jackson,4
Jefferson,3
Kiowa,3
Kit Carson,3
Lake,4
La Plata,4
Larimer,4
Las Animas,4
Lincoln,4
Logan,4
Mesa,4
Mineral,2
Moffat,4
Montezuma,4
Montrose,4
Morgan,3
Otero,6
Ouray,4
Park,3
Phillips,3
Pitkin,3
Prowers,4
Pueblo,4
Rio Blanco,4
Rio Grande,5
Routt,4
Saguache,5
San Juan,4
San Miguel,4
Sedgwick,4
Summit,3
Teller,4
Washington,3
Weld,3
Yuma,4
Fairfield,5
Hartford,5
Litchfield,4
Middlesex,4
New Haven,5
New London,4
Tolland,4
Windham,4
Kent,4
New Castle,4
Sussex,4
District of Columbia,7
Alachua,6
Baker,4
Bay,4
Bradford,5
Brevard,4
Broward,4
Calhoun,4
Charlotte,4
Citrus,4
Clay,3
Collier,4
Columbia,4
DeSoto,3
Dixie,4
Duval,4
Escambia,3
Flagler,3
Franklin,5
Gadsden,4
Gilchrist,4
Glades,3
Gulf,4
Hamilton,5
Hardee,4
Hendry,4
Hernando,3
Highlands,3
Hillsborough,4
Holmes,5
Indian River,4
Jackson,4
Jefferson,4
Lafayette,6
Lake,4
Lee,4
Leon,5
Levy,4
Liberty,4
Madison,5
Manatee,4
Marion,3
Martin,4
Miami-Dade,5
Monroe,4
Nassau,4
Okaloosa,4
Okeechobee,4
Orange,4
Osceola,4
Palm Beach,4
Pasco,4
Pinellas,4
Polk,4
Putnam,4
St. Johns,4
St. Lucie,4
Santa Rosa,3
Sarasota,4
Seminole,4
Sumter,3
Suwannee,4
Taylor,3
Union,4
Volusia,4
Wakulla,3
Walton,4
Washington,4
Appling,4
Atkinson,4
Bacon,5
Baker,5
Baldwin,6
Banks,4
Barrow,3
Bartow,4
Ben Hill,4
Berrien,5
Bibb,6
Bleckley,5
Brantley,5
Brooks,5
