County_Name,life_expectancy
Autauga,76
Baldwin,78
Barbour,75
Bibb,73
Blount,74
Bullock,73
Butler,72
Calhoun,73
Chambers,74
Cherokee,73
Chilton,74
Choctaw,74
Clarke,74
Clay,75
Cleburne,74
Coffee,76
Colbert,74
Conecuh,75
Coosa,73
Covington,73
Crenshaw,74
Cullman,74
Dale,75
Dallas,71
DeKalb,74
Elmore,75
Escambia,72
Etowah,73
Fayette,74
Franklin,74
Geneva,73
Greene,74
Hale,74
Henry,76
Houston,75
Jackson,73
Jefferson,74
Lamar,74
Lauderdale,76
Lawrence,73
Lee,78
Limestone,77
Lowndes,71
Macon,73
Madison,77
Marengo,73
Marion,74
Marshall,74
Mobile,75
Monroe,74
Montgomery,76
Morgan,75
Perry,72
Pickens,76
Pike,75
Randolph,74
Russell,73
St. Clair,74
Shelby,80
Sumter,73
Talladega,73
Tallapoosa,74
Tuscaloosa,76
Walker,70
Washington,74
Wilcox,73
Winston,74
Aleutians East,91
Aleutians West,84
Anchorage,79
Bethel,72
Bristol Bay,
Denali,77
Dillingham,73
Fairbanks North Star,79
Haines,84
Hoonah-Angoon,82
Juneau,80
Kenai Peninsula,78
Ketchikan Gateway,79
Kodiak Island,81
Kusilvak,68
Lake and Peninsula,
Matanuska-Susitna,79
Nome,70
North Slope,76
Northwest Arctic,71
Petersburg,79
Prince of Wales-Hyder,73
Sitka,80
Skagway,
Southeast Fairbanks,78
Valdez-Cordova,79
Wrangell,78
Yakutat,
Yukon-Koyukuk,71
Apache,72
Cochise,78
Coconino,78
Gila,74
Graham,77
Greenlee,81
La Paz,76
Maricopa,80
Mohave,75
Navajo,74
Pima,79
Pinal,82
Santa Cruz,83
Yavapai,78
Yuma,82
Arkansas,74
Ashley,74
Baxter,77
Benton,79
Boone,76
Bradley,73
Calhoun,73
Carroll,76
Chicot,73
Clark,75
Clay,73
Cleburne,75
Cleveland,74
Columbia,75
Conway,74
Craighead,76
Crawford,76
Crittenden,72
Cross,72
Dallas,74
Desha,72
Drew,74
Faulkner,76
Franklin,73
Fulton,75
Garland,74
Grant,76
Greene,74
Hempstead,76
Hot Spring,73
Howard,74
Independence,76
Izard,75
Jackson,72
Jefferson,73
Johnson,76
Lafayette,75
Lawrence,73
Lee,75
Lincoln,74
Little River,74
Logan,75
Lonoke,74
Madison,73
Marion,74
Miller,73
Mississippi,71
Monroe,68
Montgomery,77
Nevada,74
Newton,77
Ouachita,74
Perry,76
Phillips,71
Pike,76
Poinsett,71
Polk,76
Pope,76
Prairie,76
Pulaski,76
Randolph,73
St. Francis,74
Saline,77
Scott,73
Searcy,75
Sebastian,76
Sevier,76
Sharp,73
Stone,76
Union,73
Van Buren,76
Washington,78
White,75
Woodruff,73
Yell,74
Alameda,82
Alpine,
Amador,80
Butte,77
Calaveras,79
Colusa,79
Contra Costa,82
Del Norte,76
El Dorado,81
Fresno,78
Glenn,77
Humboldt,76
Imperial,81
Inyo,78
Kern,77
Kings,79
Lake,74
Lassen,78
Los Angeles,82
Madera,79
Marin,85
Mariposa,79
Mendocino,79
Merced,78
Modoc,77
Mono,96
Monterey,82
Napa,81
Nevada,81
Orange,83
Placer,82
Plumas,78
Riverside,80
Sacramento,79
San Benito,82
San Bernardino,78
San Diego,82
San Francisco,83
San Joaquin,78
San Luis Obispo,81
San Mateo,84
Santa Barbara,82
Santa Clara,84
Santa Cruz,82
Shasta,76
Sierra,80
Siskiyou,76
Solano,80
Sonoma,81
Stanislaus,78
Sutter,78
Tehama,76
Trinity,77
Tulare,78
Tuolumne,78
Ventura,82
Yolo,81
Yuba,75
Adams,79
Alamosa,76
Arapahoe,81
Archuleta,82
Baca,80
Bent,75
Boulder,82
Broomfield,82
Chaffee,82
Cheyenne,78
Clear Creek,83
Conejos,75
Costilla,78
Crowley,77
Custer,76
Delta,78
Denver,79
Dolores,76
Douglas,84
Eagle,90
Elbert,81
El Paso,78
Fremont,77
Garfield,80
Gilpin,85
Grand,85
Gunnison,83
Hinsdale,
Huerfano,75
Jackson,
Jefferson,80
Kiowa,
Kit Carson,80
Lake,85
La Plata,82
Larimer,81
Las Animas,74
Lincoln,80
Logan,78
Mesa,78
Mineral,
Moffat,79
Montezuma,78
Montrose,79
Morgan,78
Otero,75
Ouray,85
Park,82
Phillips,79
Pitkin,93
Prowers,76
Pueblo,76
