County_Name,mental_health_provider
Autauga,4277
Baldwin,1038
Barbour,12441
Bibb,4480
Blount,6427
Bullock,5069
Butler,1968
Calhoun,866
Chambers,16808
Cherokee,5206
Chilton,1920
Choctaw,0
Clarke,1407
Clay,6638
Cleburne,2498
Coffee,1527
Colbert,2882
Conecuh,1535
Coosa,10715
Covington,1541
Crenshaw,1728
Cullman,738
Dale,1064
Dallas,1666
DeKalb,3757
Elmore,5849
Escambia,1750
Etowah,827
Fayette,8217
Franklin,10454
Geneva,5263
Greene,8233
Hale,7363
Henry,8605
Houston,694
Jackson,2156
Jefferson,565
Lamar,6922
Lauderdale,646
Lawrence,804
Lee,1163
Limestone,2091
Lowndes,0
Macon,246
Madison,697
Marengo,2724
Marion,9921
Marshall,411
Mobile,1083
Monroe,1170
Montgomery,697
Morgan,692
Perry,3047
Pickens,6646
Pike,2084
Randolph,3788
Russell,2408
St. Clair,4927
Shelby,1254
Sumter,6346
Talladega,5322
Tallapoosa,3375
Tuscaloosa,757
Walker,2197
Washington,4095
Wilcox,10627
Winston,11830
Aleutians East,1172
Aleutians West,818
Anchorage,242
Bethel,45
Bristol Bay,36
Denali,0
Dillingham,139
Fairbanks North Star,182
Haines,412
Hoonah-Angoon,359
Juneau,150
Kenai Peninsula,454
Ketchikan Gateway,366
Kodiak Island,310
Kusilvak,830
Lake and Peninsula,794
Matanuska-Susitna,690
Nome,118
North Slope,1410
Northwest Arctic,100
Petersburg,248
Prince of Wales-Hyder,803
Sitka,56
Skagway,1148
Southeast Fairbanks,692
Valdez-Cordova,482
Wrangell,313
Yakutat,302
Yukon-Koyukuk,1065
Apache,1122
Cochise,829
Coconino,484
Gila,1540
Graham,2380
Greenlee,9483
La Paz,1241
Maricopa,741
Mohave,1406
Navajo,1269
Pima,547
Pinal,1411
Santa Cruz,2907
Yavapai,535
Yuma,1768
Arkansas,935
Ashley,1336
Baxter,365
Benton,445
Boone,852
Bradley,3632
Calhoun,0
Carroll,1283
Chicot,168
Clark,394
Clay,1485
Cleburne,1135
Cleveland,0
Columbia,535
Conway,394
Craighead,261
Crawford,1981
Crittenden,469
Cross,1191
Dallas,422
Desha,1645
Drew,165
Faulkner,721
Franklin,17810
Fulton,2045
Garland,381
Grant,1010
Greene,527
Hempstead,988
Hot Spring,511
Howard,1213
Independence,580
Izard,1699
Jackson,1121
Jefferson,454
Johnson,388
Lafayette,1671
Lawrence,498
Lee,8985
Lincoln,669
Little River,6163
Logan,3623
Lonoke,1991
Madison,659
Marion,8361
Miller,440
Mississippi,859
Monroe,6900
Montgomery,4462
Nevada,1189
Newton,3903
Ouachita,590
Perry,0
Phillips,1803
Pike,3558
Poinsett,358
Polk,1179
Pope,444
Prairie,4037
Pulaski,235
Randolph,1122
St. Francis,310
Saline,754
Scott,10319
Searcy,442
Sebastian,304
Sevier,1904
Sharp,469
Stone,1038
Union,551
Van Buren,1384
Washington,276
White,554
Woodruff,1623
Yell,5384
Alameda,163
Alpine,220
Amador,438
Butte,155
Calaveras,608
Colusa,569
Contra Costa,295
Del Norte,246
El Dorado,302
Fresno,288
Glenn,876
Humboldt,221
Imperial,713
Inyo,217
Kern,529
Kings,495
Lake,276
Lassen,328
Los Angeles,293
Madera,614
Marin,132
Mariposa,357
Mendocino,156
Merced,578
Modoc,274
Mono,509
Monterey,278
Napa,182
Nevada,125
Orange,375
Placer,334
Plumas,355
Riverside,487
Sacramento,268
San Benito,918
San Bernardino,441
