County_Name,pct_rural
Autauga,42
Baldwin,42
Barbour,67
Bibb,68
Blount,89
Bullock,51
Butler,71
Calhoun,33
Chambers,49
Cherokee,85
Chilton,86
Choctaw,100
Clarke,75
Clay,100
Cleburne,100
Coffee,47
Colbert,43
Conecuh,80
Coosa,100
Covington,69
Crenshaw,100
Cullman,73
Dale,50
Dallas,45
DeKalb,90
Elmore,54
Escambia,63
Etowah,37
Fayette,80
Franklin,70
Geneva,89
Greene,100
Hale,89
Henry,87
Houston,33
Jackson,77
Jefferson,9
Lamar,100
Lauderdale,49
Lawrence,91
Lee,27
Limestone,57
Lowndes,100
Macon,55
Madison,16
Marengo,69
Marion,88
Marshall,53
Mobile,20
Monroe,79
Montgomery,10
Morgan,38
Perry,100
Pickens,100
Pike,51
Randolph,81
Russell,35
St. Clair,72
Shelby,22
Sumter,100
Talladega,55
Tallapoosa,74
Tuscaloosa,25
Walker,74
Washington,100
Wilcox,100
Winston,84
Aleutians East,100
Aleutians West,100
Anchorage,4
Bethel,73
Bristol Bay,100
Denali,100
Dillingham,100
Fairbanks North Star,30
Haines,100
Hoonah-Angoon,
Juneau,21
Kenai Peninsula,79
Ketchikan Gateway,23
Kodiak Island,31
Kusilvak,
Lake and Peninsula,100
Matanuska-Susitna,50
Nome,66
North Slope,59
Northwest Arctic,57
Petersburg,
Prince of Wales-Hyder,
Sitka,20
Skagway,
Southeast Fairbanks,100
Valdez-Cordova,100
Wrangell,
Yakutat,100
Yukon-Koyukuk,100
Apache,74
Cochise,36
Coconino,31
Gila,41
Graham,46
Greenlee,46
La Paz,56
Maricopa,2
Mohave,22
Navajo,54
Pima,7
Pinal,21
Santa Cruz,26
Yavapai,33
Yuma,10
Arkansas,34
Ashley,51
Baxter,65
Benton,25
Boone,62
Bradley,49
Calhoun,100
Carroll,72
Chicot,54
Clark,54
Clay,58
Cleburne,75
Cleveland,100
Columbia,57
Conway,70
Craighead,32
Crawford,51
Crittenden,20
Cross,56
Dallas,52
Desha,31
Drew,48
Faulkner,38
Franklin,82
Fulton,92
Garland,36
Grant,75
Greene,41
Hempstead,55
Hot Spring,65
Howard,67
Independence,68
Izard,100
Jackson,65
Jefferson,30
Johnson,71
Lafayette,100
Lawrence,63
Lee,63
Lincoln,100
Little River,68
Logan,71
Lonoke,44
Madison,100
Marion,100
Miller,40
Mississippi,36
Monroe,68
Montgomery,100
Nevada,69
Newton,100
Ouachita,56
Perry,100
Phillips,47
Pike,100
Poinsett,71
Polk,73
Pope,54
Prairie,100
Pulaski,12
Randolph,67
St. Francis,51
Saline,36
Scott,70
Searcy,100
Sebastian,20
Sevier,63
Sharp,80
Stone,100
Union,54
Van Buren,100
Washington,25
White,54
Woodruff,100
Yell,79
Alameda,0
Alpine,100
Amador,60
Butte,18
Calaveras,75
Colusa,31
Contra Costa,0
Del Norte,33
El Dorado,34
Fresno,10
Glenn,40
Humboldt,29
Imperial,17
Inyo,46
Kern,10
Kings,10
Lake,33
Lassen,70
Los Angeles,0
Madera,32
Marin,6
Mariposa,100
Mendocino,45
Merced,14
Modoc,69
Mono,45
Monterey,9
Napa,13
Nevada,42
Orange,0
Placer,13
Plumas,74
Riverside,4
Sacramento,2
San Benito,24
San Bernardino,4
San Diego,3
San Francisco,0
San Joaquin,8
San Luis Obispo,16
San Mateo,1
Santa Barbara,5
Santa Clara,1
Santa Cruz,12
Shasta,29
Sierra,99
Siskiyou,65
Solano,3
Sonoma,12
Stanislaus,7
Sutter,14
Tehama,51
Trinity,100
Tulare,15
Tuolumne,48
Ventura,3
Yolo,6
Yuba,26
Adams,3
Alamosa,36
Arapahoe,1
Archuleta,59
Baca,100
Bent,37
Boulder,8
Broomfield,0
Chaffee,37
Cheyenne,100
Clear Creek,100
Conejos,100
Costilla,100
Crowley,100
Custer,100
Delta,63
Denver,0
Dolores,100
Douglas,10
Eagle,19
Elbert,100
El Paso,8
Fremont,26
Garfield,24
Gilpin,100
Grand,82
Gunnison,58
Hinsdale,100
Huerfano,56
Jackson,100
Jefferson,6
Kiowa,100
Kit Carson,48
Lake,31
La Plata,59
Larimer,11
Las Animas,40
Lincoln,100
Logan,29
Mesa,12
Mineral,100
Moffat,27
Montezuma,67
Montrose,44
Morgan,32
Otero,34
Ouray,100
Park,100
Phillips,100
Pitkin,44
Prowers,37
Pueblo,14
Rio Blanco,100
Rio Grande,62
Routt,45
Saguache,100
San Juan,100
San Miguel,100
Sedgwick,100
Summit,19
Teller,62
Washington,100
Weld,20
Yuma,64
Fairfield,4
Hartford,5
Litchfield,41
Middlesex,24
New Haven,3
New London,25
Tolland,38
Windham,49
Kent,26
New Castle,4
Sussex,41
District of Columbia,0
Alachua,21
Baker,59
Bay,11
Bradford,75
Brevard,5
Broward,0
Calhoun,67
Charlotte,8
Citrus,34
Clay,14
Collier,8
Columbia,62
DeSoto,46
Dixie,77
Duval,2
Escambia,8
Flagler,10
Franklin,68
Gadsden,65
Gilchrist,83
Glades,70
Gulf,77
Hamilton,63
Hardee,47
Hendry,37
Hernando,19
Highlands,21
Hillsborough,3
Holmes,78
Indian River,4
Jackson,75
Jefferson,100
Lafayette,100
Lake,19
Lee,5
Leon,12
Levy,92
Liberty,100
Madison,80
Manatee,5
Marion,31
Martin,8
Miami-Dade,0
Monroe,8
Nassau,48
Okaloosa,12
Okeechobee,36
Orange,2
Osceola,7
Palm Beach,1
Pasco,9
Pinellas,0
Polk,13
Putnam,56
St. Johns,23
St. Lucie,3
Santa Rosa,20
Sarasota,4
Seminole,3
Sumter,34
Suwannee,83
Taylor,69
Union,67
Volusia,9
Wakulla,61
Walton,63
Washington,84
Appling,71
Atkinson,100
Bacon,69
Baker,100
Baldwin,35
Banks,93
Barrow,30
Bartow,35
Ben Hill,34
Berrien,76
Bibb,14
Bleckley,51
Brantley,99
Brooks,71
Bryan,52
Bulloch,48
Burke,74
Butts,77
Calhoun,100
Camden,31
Candler,66
Carroll,41
Catoosa,28
Charlton,51
Chatham,4
Chattahoochee,29
Chattooga,57
Cherokee,17
Clarke,5
Clay,100
Clayton,0
Clinch,60
Cobb,0
Coffee,66
Colquitt,58
Columbia,16
Cook,59
Coweta,32
Crawford,100
Crisp,47
Dade,72
Dawson,80
Decatur,56
