County_Name,suicide_rate
Autauga,18
Baldwin,19
Barbour,12
Bibb,20
Blount,17
Bullock,
Butler,9
Calhoun,19
Chambers,20
Cherokee,23
Chilton,14
Choctaw,
Clarke,9
Clay,23
Cleburne,13
Coffee,14
Colbert,17
Conecuh,
Coosa,17
Covington,15
Crenshaw,
Cullman,22
Dale,16
Dallas,11
DeKalb,18
Elmore,20
Escambia,20
Etowah,15
Fayette,24
Franklin,14
Geneva,15
Greene,
Hale,13
Henry,15
Houston,15
Jackson,24
Jefferson,12
Lamar,
Lauderdale,13
Lawrence,21
Lee,12
Limestone,14
Lowndes,
Macon,
Madison,16
Marengo,
Marion,18
Marshall,16
Mobile,15
Monroe,14
Montgomery,11
Morgan,21
Perry,
Pickens,
Pike,9
Randolph,22
Russell,17
St. Clair,19
Shelby,14
Sumter,
Talladega,18
Tallapoosa,17
Tuscaloosa,11
Walker,23
Washington,15
Wilcox,
Winston,15
Aleutians East,
Aleutians West,
Anchorage,21
Bethel,36
Bristol Bay,
Denali,
Dillingham,
Fairbanks North Star,24
Haines,
Hoonah-Angoon,
Juneau,22
Kenai Peninsula,28
Ketchikan Gateway,24
Kodiak Island,17
Kusilvak,113
Lake and Peninsula,
Matanuska-Susitna,22
Nome,63
North Slope,30
Northwest Arctic,73
Petersburg,
Prince of Wales-Hyder,
Sitka,
Skagway,
Southeast Fairbanks,
Valdez-Cordova,33
Wrangell,
Yakutat,
Yukon-Koyukuk,39
Apache,35
Cochise,21
Coconino,25
Gila,39
Graham,20
Greenlee,
La Paz,36
Maricopa,15
Mohave,31
Navajo,35
Pima,18
Pinal,16
Santa Cruz,9
Yavapai,31
Yuma,14
Arkansas,14
Ashley,12
Baxter,29
Benton,17
Boone,21
Bradley,
Calhoun,
Carroll,23
Chicot,
Clark,12
Clay,16
Cleburne,21
Cleveland,
Columbia,17
Conway,20
Craighead,16
Crawford,23
Crittenden,10
Cross,24
Dallas,
Desha,
Drew,18
Faulkner,17
Franklin,25
Fulton,34
Garland,30
Grant,19
Greene,28
Hempstead,
Hot Spring,28
Howard,13
Independence,20
Izard,32
Jackson,13
Jefferson,13
Johnson,19
Lafayette,
Lawrence,17
Lee,
Lincoln,14
Little River,18
Logan,29
Lonoke,23
Madison,24
Marion,35
Miller,17
Mississippi,15
Monroe,
Montgomery,23
Nevada,
Newton,
Ouachita,16
Perry,19
Phillips,18
Pike,
Poinsett,29
Polk,25
Pope,18
Prairie,
Pulaski,16
Randolph,21
St. Francis,7
Saline,18
Scott,22
Searcy,28
Sebastian,17
Sevier,14
Sharp,29
Stone,40
Union,16
Van Buren,15
Washington,16
White,19
Woodruff,
Yell,15
Alameda,8
Alpine,
Amador,27
Butte,18
Calaveras,23
Colusa,15
Contra Costa,9
Del Norte,17
El Dorado,16
Fresno,11
Glenn,23
Humboldt,24
Imperial,8
Inyo,14
Kern,13
Kings,12
Lake,29
Lassen,25
Los Angeles,8
Madera,11
Marin,13
Mariposa,31
Mendocino,20
Merced,10
Modoc,24
Mono,
Monterey,9
Napa,9
Nevada,19
Orange,9
Placer,12
Plumas,21
Riverside,11
Sacramento,12
San Benito,9
San Bernardino,10
San Diego,12
San Francisco,9
San Joaquin,10
San Luis Obispo,17
San Mateo,7
Santa Barbara,12
Santa Clara,7
Santa Cruz,15
Shasta,24
Sierra,
Siskiyou,22
Solano,12
Sonoma,13
Stanislaus,10
Sutter,15
Tehama,20
Trinity,37
Tulare,10
Tuolumne,19
Ventura,10
Yolo,10
Yuba,19
Adams,19
Alamosa,24
Arapahoe,17
Archuleta,25
Baca,
Bent,
Boulder,17
Broomfield,17
Chaffee,26
Cheyenne,
Clear Creek,25
Conejos,27
Costilla,
Crowley,
Custer,69
Delta,30
Denver,17
Dolores,
Douglas,16
Eagle,15
Elbert,20
El Paso,25
Fremont,28
Garfield,21
Gilpin,
Grand,23
Gunnison,36
Hinsdale,
Huerfano,43
Jackson,
Jefferson,18
Kiowa,
Kit Carson,33
Lake,27
La Plata,22
Larimer,22
Las Animas,35
Lincoln,
Logan,20
Mesa,29
Mineral,
Moffat,21
Montezuma,42
Montrose,24
Morgan,20
Otero,16
Ouray,
Park,36
Phillips,
Pitkin,18
Prowers,19
Pueblo,26
Rio Blanco,29
Rio Grande,22
Routt,13
Saguache,46
San Juan,
San Miguel,
Sedgwick,
Summit,20
Teller,39
Washington,
Weld,19
Yuma,
Fairfield,7
Hartford,9
Litchfield,12
Middlesex,9
New Haven,11
New London,12
Tolland,13
Windham,14
Kent,13
New Castle,11
Sussex,12
District of Columbia,6
Alachua,13
Baker,13
Bay,23
Bradford,13
Brevard,20
Broward,11
Calhoun,
Charlotte,17
Citrus,23
Clay,17
Collier,11
Columbia,17
DeSoto,16
Dixie,14
Duval,15
Escambia,19
Flagler,22
Franklin,12
Gadsden,11
Gilchrist,18
Glades,18
Gulf,18
Hamilton,
Hardee,13
Hendry,15
Hernando,17
Highlands,21
Hillsborough,13
Holmes,18
Indian River,15
Jackson,15
Jefferson,
Lafayette,
Lake,16
Lee,16
Leon,11
Levy,19
Liberty,
Madison,
Manatee,15
Marion,20
Martin,15
Miami-Dade,8
Monroe,23
Nassau,20
Okaloosa,19
Okeechobee,15
Orange,10
Osceola,10
Palm Beach,14
Pasco,18
Pinellas,18
Polk,13
Putnam,21
St. Johns,17
St. Lucie,15
Santa Rosa,19
Sarasota,19
Seminole,12
Sumter,13
Suwannee,19
Taylor,18
Union,21
Volusia,20
Wakulla,19
Walton,17
Washington,22
Appling,18
Atkinson,
Bacon,
Baker,
Baldwin,15
Banks,20
Barrow,17
Bartow,17
Ben Hill,11
Berrien,21
Bibb,12
Bleckley,17
Brantley,13
Brooks,19
Bryan,17
Bulloch,11
Burke,19
Butts,17
Calhoun,
Camden,17
Candler,18
Carroll,18
Catoosa,15
Charlton,18
Chatham,15
Chattahoochee,
Chattooga,14
Cherokee,15
Clarke,14
Clay,
Clayton,9
Clinch,
Cobb,12
Coffee,13
