County_Name,pct_uninsured
Autauga,8
Baldwin,11
Barbour,12
Bibb,10
Blount,13
Bullock,11
Butler,11
Calhoun,11
Chambers,11
Cherokee,11
Chilton,13
Choctaw,11
Clarke,11
Clay,13
Cleburne,13
Coffee,11
Colbert,9
Conecuh,12
Coosa,13
Covington,12
Crenshaw,12
Cullman,12
Dale,9
Dallas,10
DeKalb,17
Elmore,8
Escambia,14
Etowah,12
Fayette,11
Franklin,15
Geneva,14
Greene,11
Hale,10
Henry,12
Houston,11
Jackson,13
Jefferson,10
Lamar,11
Lauderdale,11
Lawrence,14
Lee,10
Limestone,11
Lowndes,10
Macon,10
Madison,9
Marengo,9
Marion,11
Marshall,15
Mobile,11
Monroe,12
Montgomery,11
Morgan,11
Perry,11
Pickens,11
Pike,12
Randolph,13
Russell,11
St. Clair,10
Shelby,7
Sumter,11
Talladega,10
Tallapoosa,11
Tuscaloosa,9
Walker,11
Washington,13
Wilcox,10
Winston,12
Aleutians East,27
Aleutians West,20
Anchorage,12
Bethel,19
Bristol Bay,17
Denali,13
Dillingham,17
Fairbanks North Star,13
Haines,17
Hoonah-Angoon,22
Juneau,13
Kenai Peninsula,16
Ketchikan Gateway,17
Kodiak Island,18
Kusilvak,17
Lake and Peninsula,25
Matanuska-Susitna,14
Nome,21
North Slope,17
Northwest Arctic,24
Petersburg,18
Prince of Wales-Hyder,23
Sitka,18
Skagway,14
Southeast Fairbanks,21
Valdez-Cordova,14
Wrangell,18
Yakutat,18
Yukon-Koyukuk,24
Apache,19
Cochise,10
Coconino,13
Gila,13
Graham,10
Greenlee,8
La Paz,19
Maricopa,12
Mohave,13
Navajo,15
Pima,10
Pinal,11
Santa Cruz,13
Yavapai,12
Yuma,14
Arkansas,8
Ashley,9
Baxter,8
Benton,10
Boone,8
Bradley,11
Calhoun,8
Carroll,12
Chicot,8
Clark,7
Clay,8
Cleburne,9
Cleveland,8
Columbia,8
Conway,8
Craighead,7
Crawford,9
Crittenden,7
Cross,8
Dallas,8
Desha,9
Drew,8
Faulkner,7
Franklin,9
Fulton,9
Garland,9
Grant,6
Greene,7
Hempstead,10
Hot Spring,7
Howard,11
Independence,8
Izard,10
Jackson,8
Jefferson,7
Johnson,10
Lafayette,10
Lawrence,8
Lee,8
Lincoln,9
Little River,8
Logan,9
Lonoke,7
Madison,11
Marion,9
Miller,8
Mississippi,7
Monroe,8
Montgomery,11
Nevada,8
Newton,9
Ouachita,6
Perry,8
Phillips,7
Pike,11
Poinsett,9
Polk,12
Pope,10
Prairie,9
Pulaski,7
Randolph,8
St. Francis,8
Saline,7
Scott,11
Searcy,10
Sebastian,12
Sevier,17
