County_Name,pct_diabetes
Autauga,11
Baldwin,10
Barbour,17
Bibb,14
Blount,17
Bullock,23
Butler,19
Calhoun,17
Chambers,19
Cherokee,15
Chilton,18
Choctaw,17
Clarke,22
Clay,13
Cleburne,12
Coffee,16
Colbert,16
Conecuh,25
Coosa,20
Covington,15
Crenshaw,18
Cullman,19
Dale,15
Dallas,15
DeKalb,12
Elmore,15
Escambia,18
Etowah,15
Fayette,23
Franklin,14
Geneva,16
Greene,14
Hale,17
Henry,16
Houston,13
Jackson,16
Jefferson,12
Lamar,18
Lauderdale,13
Lawrence,19
Lee,9
Limestone,13
Lowndes,13
Macon,23
Madison,13
Marengo,17
Marion,20
Marshall,11
Mobile,14
Monroe,18
Montgomery,13
Morgan,12
Perry,15
Pickens,15
Pike,12
Randolph,16
Russell,19
St. Clair,13
Shelby,10
Sumter,20
Talladega,16
Tallapoosa,15
Tuscaloosa,11
Walker,14
Washington,16
Wilcox,19
Winston,19
Aleutians East,12
Aleutians West,9
Anchorage,7
Bethel,6
Bristol Bay,14
Denali,4
Dillingham,10
Fairbanks North Star,6
Haines,7
Hoonah-Angoon,14
Juneau,6
Kenai Peninsula,8
Ketchikan Gateway,9
Kodiak Island,8
Kusilvak,4
Lake and Peninsula,9
Matanuska-Susitna,8
Nome,7
North Slope,7
Northwest Arctic,10
Petersburg,8
Prince of Wales-Hyder,13
Sitka,7
Skagway,6
Southeast Fairbanks,9
Valdez-Cordova,11
Wrangell,13
Yakutat,7
Yukon-Koyukuk,9
Apache,16
Cochise,10
Coconino,7
Gila,15
Graham,9
Greenlee,11
La Paz,14
Maricopa,8
Mohave,13
Navajo,15
Pima,8
Pinal,12
Santa Cruz,8
Yavapai,10
Yuma,14
Arkansas,19
Ashley,15
Baxter,17
Benton,9
Boone,14
Bradley,16
Calhoun,17
Carroll,8
Chicot,9
Clark,14
Clay,15
Cleburne,11
Cleveland,17
Columbia,16
Conway,18
Craighead,13
Crawford,15
Crittenden,19
Cross,16
Dallas,7
Desha,13
Drew,19
Faulkner,9
Franklin,13
Fulton,13
Garland,15
Grant,16
Greene,14
Hempstead,18
Hot Spring,17
Howard,12
Independence,13
Izard,13
Jackson,23
Jefferson,15
Johnson,12
Lafayette,29
Lawrence,9
Lee,16
Lincoln,15
Little River,20
Logan,18
Lonoke,12
Madison,12
Marion,17
Miller,12
Mississippi,17
Monroe,17
Montgomery,18
Nevada,14
Newton,10
Ouachita,15
Perry,14
Phillips,18
Pike,14
Poinsett,20
Polk,13
Pope,11
Prairie,14
Pulaski,11
Randolph,18
St. Francis,18
Saline,12
Scott,18
Searcy,16
Sebastian,12
Sevier,14
Sharp,19
Stone,21
Union,13
Van Buren,15
Washington,8
White,13
Woodruff,26
Yell,14
Alameda,6
Alpine,6
Amador,13
Butte,9
Calaveras,11
Colusa,21
Contra Costa,8
Del Norte,10
El Dorado,8
Fresno,10
Glenn,9
Humboldt,8
Imperial,9
Inyo,9
Kern,9
Kings,10
Lake,12
Lassen,19
Los Angeles,8
Madera,12
Marin,5
Mariposa,7
Mendocino,7
Merced,14
Modoc,18
Mono,5
Monterey,8
Napa,8
