County_Name,pct_vaccinated
Autauga,41
Baldwin,44
Barbour,37
Bibb,38
Blount,39
Bullock,28
Butler,35
Calhoun,38
Chambers,42
Cherokee,41
Chilton,42
Choctaw,34
Clarke,28
Clay,43
Cleburne,34
Coffee,37
Colbert,45
Conecuh,44
Coosa,39
Covington,39
Crenshaw,36
Cullman,41
Dale,41
Dallas,34
DeKalb,40
Elmore,39
Escambia,35
Etowah,36
Fayette,45
Franklin,38
Geneva,46
Greene,30
Hale,33
Henry,42
Houston,45
Jackson,42
Jefferson,44
Lamar,40
Lauderdale,49
Lawrence,40
Lee,42
Limestone,46
Lowndes,32
Macon,33
Madison,45
Marengo,33
Marion,39
Marshall,43
Mobile,41
Monroe,37
Montgomery,38
Morgan,44
Perry,23
Pickens,46
Pike,38
Randolph,33
Russell,40
St. Clair,39
Shelby,44
Sumter,28
Talladega,34
Tallapoosa,43
Tuscaloosa,44
Walker,40
Washington,28
Wilcox,23
Winston,40
Aleutians East,
Aleutians West,
Anchorage,38
Bethel,10
Bristol Bay,32
Denali,
Dillingham,26
Fairbanks North Star,35
Haines,27
Hoonah-Angoon,
Juneau,43
Kenai Peninsula,
Ketchikan Gateway,38
Kodiak Island,42
Kusilvak,20
Lake and Peninsula,
Matanuska-Susitna,32
Nome,4
North Slope,
Northwest Arctic,
Petersburg,
Prince of Wales-Hyder,
Sitka,31
Skagway,24
Southeast Fairbanks,21
Valdez-Cordova,
Wrangell,
Yakutat,
Yukon-Koyukuk,31
Apache,38
Cochise,33
Coconino,39
Gila,38
Graham,38
Greenlee,29
La Paz,27
Maricopa,47
Mohave,38
Navajo,39
Pima,47
Pinal,42
Santa Cruz,34
Yavapai,42
Yuma,39
Arkansas,41
Ashley,44
Baxter,47
Benton,51
Boone,46
Bradley,50
Calhoun,35
Carroll,42
Chicot,26
Clark,49
Clay,31
Cleburne,44
Cleveland,44
Columbia,46
Conway,27
Craighead,49
Crawford,44
Crittenden,39
Cross,40
Dallas,32
Desha,38
Drew,43
Faulkner,48
Franklin,48
Fulton,38
Garland,54
Grant,54
Greene,45
Hempstead,41
Hot Spring,54
Howard,45
Independence,44
Izard,38
Jackson,49
Jefferson,41
Johnson,48
Lafayette,30
Lawrence,25
Lee,34
Lincoln,42
Little River,46
Logan,33
Lonoke,49
Madison,43
Marion,35
Miller,43
Mississippi,43
Monroe,26
Montgomery,29
Nevada,39
Newton,27
Ouachita,48
Perry,43
Phillips,25
Pike,30
Poinsett,44
Polk,35
Pope,46
Prairie,33
Pulaski,50
Randolph,38
St. Francis,42
Saline,53
Scott,35
Searcy,22
Sebastian,47
Sevier,47
Sharp,36
Stone,50
Union,45
Van Buren,36
Washington,49
White,48
Woodruff,22
Yell,37
Alameda,44
Alpine,21
Amador,46
Butte,39
Calaveras,40
Colusa,43
Contra Costa,45
Del Norte,36
El Dorado,45
Fresno,44
Glenn,37
Humboldt,37
Imperial,31
Inyo,40
Kern,38
Kings,35
Lake,27
Lassen,33
Los Angeles,38
Madera,36
Marin,48
Mariposa,27
Mendocino,28
Merced,41
Modoc,17
Mono,42
Monterey,43
Napa,41
Nevada,46
Orange,46
Placer,48
Plumas,23
Riverside,36
Sacramento,44
San Benito,47
San Bernardino,30
San Diego,41
San Francisco,41
San Joaquin,43
San Luis Obispo,48
San Mateo,48
Santa Barbara,45
Santa Clara,47
Santa Cruz,48
Shasta,40
Sierra,18
Siskiyou,31
Solano,38
Sonoma,43
Stanislaus,43
Sutter,49
Tehama,39
Trinity,36
Tulare,41
Tuolumne,45
Ventura,45
Yolo,50
Yuba,40
Adams,46
Alamosa,41
Arapahoe,53
Archuleta,32
Baca,22
Bent,35
Boulder,53
Broomfield,58
Chaffee,47
