County_Name,homicide_rate
Autauga,4
Baldwin,3
Barbour,7
Bibb,8
Blount,6
Bullock,
Butler,19
Calhoun,9
Chambers,10
Cherokee,8
Chilton,6
Choctaw,
Clarke,
Clay,
Cleburne,
Coffee,3
Colbert,4
Conecuh,11
Coosa,
Covington,3
Crenshaw,
Cullman,3
Dale,7
Dallas,34
DeKalb,4
Elmore,8
Escambia,10
Etowah,5
Fayette,
Franklin,4
Geneva,5
Greene,
Hale,11
Henry,8
Houston,6
Jackson,4
Jefferson,18
Lamar,
Lauderdale,5
Lawrence,5
Lee,8
Limestone,5
Lowndes,19
Macon,33
Madison,7
Marengo,10
Marion,4
Marshall,3
Mobile,14
Monroe,11
Montgomery,19
Morgan,6
Perry,
Pickens,
Pike,10
Randolph,
Russell,12
St. Clair,5
Shelby,2
Sumter,15
Talladega,10
Tallapoosa,7
Tuscaloosa,6
Walker,8
Washington,8
Wilcox,18
Winston,7
Aleutians East,
Aleutians West,
Anchorage,8
Bethel,11
Bristol Bay,
Denali,
Dillingham,
Fairbanks North Star,7
Haines,
Hoonah-Angoon,
Juneau,
Kenai Peninsula,2
Ketchikan Gateway,
Kodiak Island,
Kusilvak,24
Lake and Peninsula,
Matanuska-Susitna,5
Nome,
North Slope,
Northwest Arctic,
Petersburg,
Prince of Wales-Hyder,
Sitka,
Skagway,
Southeast Fairbanks,
Valdez-Cordova,
Wrangell,
Yakutat,
Yukon-Koyukuk,
Apache,14
Cochise,3
Coconino,6
Gila,7
Graham,4
Greenlee,
La Paz,13
Maricopa,5
Mohave,5
Navajo,10
Pima,5
Pinal,5
Santa Cruz,3
Yavapai,3
Yuma,3
Arkansas,10
Ashley,8
Baxter,3
Benton,1
Boone,4
Bradley,
Calhoun,
Carroll,
Chicot,
Clark,6
Clay,
Cleburne,6
Cleveland,
Columbia,5
Conway,
Craighead,5
Crawford,5
Crittenden,19
Cross,8
Dallas,
Desha,13
Drew,13
Faulkner,5
Franklin,
Fulton,
Garland,9
Grant,
Greene,6
