County_Name,median_household_income
Autauga,59338
Baldwin,57588
Barbour,34382
Bibb,46064
Blount,50412
Bullock,29267
Butler,37365
Calhoun,45400
Chambers,39917
Cherokee,42132
Chilton,47547
Choctaw,39907
Clarke,40741
Clay,39201
Cleburne,46495
Coffee,55122
Colbert,49055
Conecuh,32613
Coosa,42423
Covington,40203
Crenshaw,39057
Cullman,45796
Dale,45309
Dallas,34035
DeKalb,39491
Elmore,60367
Escambia,38418
Etowah,44903
Fayette,39254
Franklin,39388
Geneva,37823
Greene,28524
Hale,34724
Henry,46027
Houston,47993
Jackson,41929
Jefferson,55013
Lamar,40936
Lauderdale,48707
Lawrence,43909
Lee,48937
Limestone,64863
Lowndes,33973
Macon,32495
Madison,63755
Marengo,37733
Marion,37887
Marshall,46233
Mobile,43598
Monroe,39556
Montgomery,49640
Morgan,52797
Perry,26814
Pickens,37586
Pike,37259
Randolph,40546
Russell,39104
St. Clair,57284
Shelby,75663
Sumter,27859
Talladega,41630
Tallapoosa,42205
Tuscaloosa,52557
Walker,45434
Washington,44424
Wilcox,25385
Winston,41156
Aleutians East,70081
Aleutians West,82633
Anchorage,82113
Bethel,44304
Bristol Bay,77257
Denali,75477
Dillingham,54524
Fairbanks North Star,74268
Haines,58943
Hoonah-Angoon,51188
Juneau,79173
Kenai Peninsula,65439
Ketchikan Gateway,68309
Kodiak Island,74109
Kusilvak,32728
Lake and Peninsula,49403
Matanuska-Susitna,74649
Nome,55318
North Slope,89276
Northwest Arctic,59337
Petersburg,66075
Prince of Wales-Hyder,49356
Sitka,71825
Skagway,74635
Southeast Fairbanks,63527
Valdez-Cordova,68528
Wrangell,57832
Yakutat,59523
Yukon-Koyukuk,38912
Apache,33652
Cochise,49164
Coconino,60187
Gila,43585
Graham,50157
Greenlee,65818
La Paz,37350
Maricopa,65234
Mohave,45129
Navajo,40650
Pima,53395
Pinal,58848
Santa Cruz,40545
Yavapai,48758
Yuma,44116
Arkansas,43887
Ashley,41127
Baxter,39686
Benton,68978
Boone,44482
Bradley,37729
Calhoun,44969
Carroll,45023
Chicot,31787
Clark,45408
Clay,37687
Cleburne,44902
Cleveland,47600
Columbia,40909
Conway,44565
Craighead,45615
Crawford,47363
Crittenden,42606
Cross,41214
Dallas,37259
Desha,36132
Drew,42494
Faulkner,53882
Franklin,43696
Fulton,35630
Garland,43610
Grant,52050
Greene,46512
Hempstead,38682
Hot Spring,47205
Howard,40199
Independence,45596
Izard,37828
Jackson,36573
Jefferson,38596
Johnson,39381
Lafayette,35527
Lawrence,40308
Lee,28080
Lincoln,44951
Little River,43559
Logan,41471
Lonoke,56651
Madison,42674
Marion,36581
Miller,42162
Mississippi,36718
Monroe,32922
Montgomery,38318
Nevada,37626
Newton,36078
Ouachita,37624
Perry,45342
Phillips,29945
Pike,41534
Poinsett,37370
Polk,39048
Pope,45788
Prairie,43245
Pulaski,49957
Randolph,37799
St. Francis,33257
Saline,63677
Scott,35826
Searcy,31659
Sebastian,46843
Sevier,44100
Sharp,36032
Stone,34009
Union,45335
Van Buren,40486
Washington,50893
White,44811
Woodruff,34306
Yell,41729
Alameda,101744
Alpine,55384
Amador,58515
Butte,50945
Calaveras,62984
Colusa,57249
Contra Costa,101463
Del Norte,48518
El Dorado,81869
Fresno,52318
Glenn,47365
Humboldt,49471
Imperial,46633
Inyo,53793
Kern,51586
Kings,58255
