County_Name,pct_obesity
Autauga,33
Baldwin,31
Barbour,41
Bibb,37
Blount,33
Bullock,37
Butler,43
Calhoun,38
Chambers,40
Cherokee,35
Chilton,37
Choctaw,41
Clarke,34
Clay,40
Cleburne,37
Coffee,34
Colbert,30
Conecuh,43
Coosa,40
Covington,31
Crenshaw,38
Cullman,36
Dale,37
Dallas,43
DeKalb,29
Elmore,34
Escambia,39
Etowah,35
Fayette,41
Franklin,34
Geneva,38
Greene,35
Hale,40
Henry,36
Houston,38
Jackson,38
Jefferson,34
Lamar,35
Lauderdale,32
Lawrence,32
Lee,29
Limestone,33
Lowndes,46
Macon,49
Madison,32
Marengo,42
Marion,36
Marshall,34
Mobile,36
Monroe,41
Montgomery,37
Morgan,32
Perry,43
Pickens,34
Pike,36
Randolph,37
Russell,45
St. Clair,36
Shelby,35
Sumter,42
Talladega,38
Tallapoosa,36
Tuscaloosa,34
Walker,39
Washington,32
Wilcox,47
Winston,37
Aleutians East,50
Aleutians West,44
Anchorage,31
Bethel,31
Bristol Bay,41
Denali,25
Dillingham,35
Fairbanks North Star,30
Haines,27
Hoonah-Angoon,32
Juneau,27
Kenai Peninsula,32
Ketchikan Gateway,38
Kodiak Island,34
Kusilvak,23
Lake and Peninsula,37
Matanuska-Susitna,34
Nome,40
North Slope,40
Northwest Arctic,42
Petersburg,25
Prince of Wales-Hyder,44
Sitka,26
Skagway,32
Southeast Fairbanks,32
Valdez-Cordova,34
Wrangell,42
Yakutat,31
Yukon-Koyukuk,30
Apache,33
Cochise,29
Coconino,23
Gila,30
Graham,34
Greenlee,29
La Paz,30
Maricopa,26
Mohave,31
Navajo,34
Pima,25
Pinal,32
Santa Cruz,26
Yavapai,23
Yuma,36
Arkansas,30
Ashley,42
Baxter,33
Benton,29
Boone,34
Bradley,46
Calhoun,29
Carroll,27
Chicot,38
Clark,26
Clay,42
Cleburne,36
Cleveland,35
Columbia,36
Conway,36
Craighead,38
Crawford,35
Crittenden,41
Cross,38
Dallas,38
Desha,37
Drew,40
Faulkner,35
Franklin,34
Fulton,27
Garland,29
Grant,35
Greene,36
Hempstead,29
Hot Spring,36
Howard,44
Independence,28
Izard,34
Jackson,43
Jefferson,40
Johnson,39
Lafayette,46
Lawrence,32
Lee,39
Lincoln,32
Little River,37
Logan,32
Lonoke,43
Madison,34
Marion,28
Miller,34
Mississippi,40
Monroe,38
Montgomery,29
Nevada,35
Newton,32
Ouachita,38
Perry,33
Phillips,42
Pike,33
Poinsett,41
Polk,33
Pope,34
Prairie,44
Pulaski,33
Randolph,35
St. Francis,42
Saline,30
Scott,38
Searcy,32
Sebastian,31
Sevier,33
Sharp,37
Stone,38
Union,34
Van Buren,37
Washington,29
White,31
Woodruff,42
Yell,37
Alameda,19
Alpine,23
Amador,29
Butte,27
Calaveras,30
Colusa,40
Contra Costa,24
Del Norte,34
El Dorado,22
Fresno,31
Glenn,32
Humboldt,29
Imperial,34
Inyo,27
Kern,32
Kings,29
Lake,25
Lassen,40
Los Angeles,21
Madera,35
Marin,16
Mariposa,23
Mendocino,32
Merced,28
Modoc,28
Mono,25
Monterey,27
Napa,23
Nevada,22
Orange,19
Placer,20
Plumas,26
Riverside,27
Sacramento,28
San Benito,32
San Bernardino,28
San Diego,20
San Francisco,18
San Joaquin,32
San Luis Obispo,25
San Mateo,21
Santa Barbara,24
Santa Clara,19
Santa Cruz,19
Shasta,23
Sierra,24
Siskiyou,31
Solano,30
Sonoma,22
Stanislaus,30
Sutter,31
Tehama,27
Trinity,33
Tulare,37
Tuolumne,33
Ventura,20
Yolo,23
Yuba,34
Adams,27
Alamosa,24
Arapahoe,22
Archuleta,23
Baca,30
Bent,30
Boulder,15
Broomfield,19
Chaffee,15
Cheyenne,23
Clear Creek,22
Conejos,26
Costilla,27
Crowley,30
Custer,27
Delta,26
Denver,16
Dolores,20
Douglas,19
Eagle,12
Elbert,28
El Paso,22
Fremont,27
Garfield,23
Gilpin,27
Grand,18
Gunnison,16
Hinsdale,24
Huerfano,26
Jackson,28
Jefferson,20
Kiowa,30
Kit Carson,31
Lake,24
La Plata,18
Larimer,20
Las Animas,28
Lincoln,30
Logan,38
Mesa,23
Mineral,21
Moffat,26
Montezuma,27
Montrose,20
Morgan,34
Otero,35
Ouray,21
Park,23
Phillips,31
Pitkin,14
Prowers,33
Pueblo,29
Rio Blanco,25
Rio Grande,27
Routt,15
Saguache,29
San Juan,24
San Miguel,18
Sedgwick,26
Summit,15
Teller,21
Washington,31
Weld,29
Yuma,27
Fairfield,21
Hartford,26
Litchfield,27
Middlesex,25
New Haven,28
New London,29
Tolland,24
Windham,30
Kent,35
New Castle,28
Sussex,32
District of Columbia,23
Alachua,26
Baker,37
Bay,29
Bradford,36
Brevard,29
Broward,24
Calhoun,36
Charlotte,27
Citrus,29
Clay,32
Collier,21
Columbia,35
DeSoto,31
Dixie,34
Duval,31
Escambia,29
Flagler,25
Franklin,35
