County_Name,ratio_primary_care_provider
Autauga,4747
Baldwin,3159
Barbour,5073
Bibb,2957
Blount,8912
Bullock,4562
Butler,5371
Calhoun,3358
Chambers,9131
Cherokee,3826
Chilton,11204
Choctaw,5157
Clarke,3448
Clay,4886
Cleburne,8721
Coffee,3295
Colbert,2250
Conecuh,6586
Coosa,5358
Covington,3227
Crenshaw,7999
Cullman,2958
Dale,6954
Dallas,2825
DeKalb,4128
Elmore,6531
Escambia,4815
Etowah,2519
Fayette,3768
Franklin,4210
Geneva,7689
Greene,6200
Hale,7391
Henry,7731
Houston,1806
Jackson,3471
Jefferson,1628
Lamar,1384
Lauderdale,3185
Lawrence,9356
Lee,3645
Limestone,4800
Lowndes,15063
Macon,3764
Madison,1990
Marengo,4357
Marion,4400
Marshall,3120
Mobile,2387
Monroe,5007
Montgomery,1829
Morgan,3501
Perry,4941
Pickens,9168
Pike,3314
Randolph,4659
Russell,8248
St. Clair,7851
Shelby,3070
Sumter,8158
Talladega,5059
Tallapoosa,3191
Tuscaloosa,2424
Walker,3791
Washington,7330
Wilcox,4805
Winston,4738
Aleutians East,703
Aleutians West,3322
Anchorage,1413
Bethel,1540
Bristol Bay,328
Denali,686
Dillingham,1379
Fairbanks North Star,1867
Haines,2835
Hoonah-Angoon,538
Juneau,1651
Kenai Peninsula,2135
Ketchikan Gateway,1686
Kodiak Island,1818
Kusilvak,2768
Lake and Peninsula,596
Matanuska-Susitna,3581
Nome,1691
North Slope,4906
Northwest Arctic,2688
Petersburg,1621
Prince of Wales-Hyder,2092
Sitka,1232
Skagway,239
Southeast Fairbanks,3290
Valdez-Cordova,1947
Wrangell,944
Yakutat,50
Yukon-Koyukuk,5957
Apache,4443
Cochise,3042
Coconino,2155
Gila,3487
Graham,2857
Greenlee,3472
La Paz,5192
Maricopa,2367
Mohave,3228
Navajo,2664
Pima,2217
Pinal,8162
Santa Cruz,5885
Yavapai,2582
Yuma,3487
Arkansas,3412
Ashley,3967
Baxter,2150
Benton,3096
Boone,2406
Bradley,5443
Calhoun,3679
Carroll,5779
Chicot,1547
Clark,3455
Clay,8945
Cleburne,3453
Cleveland,10875
Columbia,3499
Conway,5672
Craighead,1464
Crawford,6747
Crittenden,4077
Cross,4262
Dallas,4260
Desha,3504
Drew,4045
Faulkner,3263
Franklin,8031
Fulton,2489
Garland,2087
Grant,11357
Greene,2763
Hempstead,5456
Hot Spring,6668
Howard,4470
Independence,2435
Izard,3537
Jackson,3741
Jefferson,2920
Johnson,3680
Lafayette,4767
Lawrence,4675
Lee,11422
Lincoln,8735
Little River,5353
Logan,7103
Lonoke,7872
Madison,8193
Marion,10304
Miller,2932
Mississippi,4404
Monroe,3512
Montgomery,5576
Nevada,4441
Newton,1115
Ouachita,4612
Perry,12418
Phillips,2984
Pike,5354
Poinsett,7751
Polk,2348
Pope,3198
Prairie,10267
Pulaski,1522
Randolph,3388
St. Francis,3751
Saline,4723
Scott,7803
Searcy,4964
Sebastian,1970
Sevier,3457
Sharp,4564
Stone,4166
Union,2944
Van Buren,4918
Washington,2515
White,3053
Woodruff,3117
Yell,2927
Alameda,2694
Alpine,92
Amador,3198
Butte,2606
Calaveras,7351
Colusa,6205
Contra Costa,3061
Del Norte,2881
El Dorado,3497
Fresno,2818
Glenn,7269
Humboldt,2368
Imperial,5890
Inyo,1848
Kern,3736
Kings,3842
Lake,3646
Lassen,4455
Los Angeles,3015
Madera,3721
Marin,2349
Mariposa,4176
Mendocino,2087
Merced,4026
Modoc,2940
Mono,2670
Monterey,3612
Napa,2802
Nevada,2738
Orange,2661
Placer,2415
Plumas,3522
Riverside,4331
Sacramento,2727
San Benito,5635
San Bernardino,3184
San Diego,2553
San Francisco,1684
San Joaquin,4530
San Luis Obispo,2591
San Mateo,3312
Santa Barbara,2860
Santa Clara,2389
Santa Cruz,2428
Shasta,2401
Sierra,3596
Siskiyou,2511
Solano,3371
Sonoma,2407
Stanislaus,3231
Sutter,2549
Tehama,3551
Trinity,5281
Tulare,3633
Tuolumne,2391
Ventura,3678
Yolo,2604
Yuba,5584
Adams,2837
Alamosa,1811
Arapahoe,2046
Archuleta,2639
Baca,2083
Bent,1961
Boulder,1709
Broomfield,2164
Chaffee,2522
Cheyenne,3721
Clear Creek,14377
Conejos,3004
Costilla,3828
Crowley,7763
