County_Name,avg_segregation_index
Autauga,24
Baldwin,36
Barbour,24
Bibb,52
Blount,32
Bullock,31
Butler,37
Calhoun,42
Chambers,26
Cherokee,30
Chilton,35
Choctaw,45
Clarke,20
Clay,20
Cleburne,37
Coffee,33
Colbert,26
Conecuh,21
Coosa,53
Covington,40
Crenshaw,13
Cullman,53
Dale,31
Dallas,50
DeKalb,41
Elmore,26
Escambia,35
Etowah,61
Fayette,49
Franklin,53
Geneva,21
Greene,9
Hale,37
Henry,24
Houston,46
Jackson,33
Jefferson,62
Lamar,5
Lauderdale,44
Lawrence,52
Lee,32
Limestone,36
Lowndes,25
Macon,55
Madison,43
Marengo,28
Marion,31
Marshall,38
Mobile,53
Monroe,33
Montgomery,49
Morgan,49
Perry,19
Pickens,35
Pike,24
Randolph,25
Russell,39
St. Clair,28
Shelby,27
Sumter,27
Talladega,29
Tallapoosa,35
Tuscaloosa,51
Walker,35
Washington,29
Wilcox,18
Winston,28
Aleutians East,7
Aleutians West,10
Anchorage,34
Bethel,35
Bristol Bay,7
Denali,7
Dillingham,49
Fairbanks North Star,32
Haines,7
Hoonah-Angoon,3
Juneau,24
Kenai Peninsula,43
Ketchikan Gateway,23
Kodiak Island,19
Kusilvak,7
Lake and Peninsula,7
Matanuska-Susitna,32
Nome,56
North Slope,18
Northwest Arctic,50
Petersburg,7
Prince of Wales-Hyder,36
Sitka,21
Skagway,7
Southeast Fairbanks,46
Valdez-Cordova,22
Wrangell,7
Yakutat,7
Yukon-Koyukuk,26
Apache,77
Cochise,38
Coconino,54
Gila,65
Graham,67
Greenlee,28
La Paz,77
Maricopa,37
Mohave,38
Navajo,70
Pima,37
Pinal,37
Santa Cruz,42
Yavapai,37
Yuma,34
Arkansas,44
Ashley,21
Baxter,25
Benton,37
Boone,56
Bradley,10
Calhoun,13
Carroll,41
Chicot,48
Clark,32
Clay,29
Cleburne,50
Cleveland,21
Columbia,28
Conway,32
Craighead,44
Crawford,45
Crittenden,48
Cross,46
Dallas,27
Desha,27
Drew,22
Faulkner,33
Franklin,12
Fulton,38
Garland,41
Grant,15
Greene,47
Hempstead,35
Hot Spring,51
Howard,33
Independence,42
Izard,40
Jackson,28
Jefferson,59
Johnson,45
Lafayette,15
Lawrence,25
Lee,31
Lincoln,43
Little River,25
Logan,46
Lonoke,43
Madison,25
Marion,24
Miller,48
Mississippi,52
Monroe,11
Montgomery,22
Nevada,14
Newton,14
Ouachita,28
Perry,16
Phillips,35
Pike,29
Poinsett,38
Polk,27
Pope,43
Prairie,11
Pulaski,47
Randolph,40
St. Francis,45
Saline,41
Scott,12
Searcy,28
Sebastian,47
Sevier,31
Sharp,18
Stone,8
Union,39
Van Buren,22
Washington,38
White,40
Woodruff,29
Yell,44
Alameda,42
Alpine,7
Amador,11
Butte,44
Calaveras,36
Colusa,14
Contra Costa,44
Del Norte,29
El Dorado,44
Fresno,36
Glenn,12
Humboldt,47
Imperial,41
Inyo,49
Kern,37
Kings,28
Lake,37
Lassen,24
Los Angeles,46
Madera,32
Marin,42
Mariposa,23
Mendocino,17
Merced,32
Modoc,32
Mono,3
Monterey,41
Napa,50
Nevada,46
Orange,39
Placer,34
Plumas,46
Riverside,35
Sacramento,40
San Benito,33
San Bernardino,33
San Diego,38
San Francisco,46
San Joaquin,35
San Luis Obispo,35
San Mateo,46
Santa Barbara,34
Santa Clara,39
Santa Cruz,46
Shasta,42
Sierra,7
Siskiyou,41
Solano,33
Sonoma,39
Stanislaus,30
Sutter,25
Tehama,38
Trinity,8
Tulare,37
Tuolumne,44
Ventura,33
Yolo,33
Yuba,34
Adams,38
Alamosa,19
Arapahoe,40
Archuleta,8
Baca,14
Bent,7
Boulder,37
Broomfield,30
Chaffee,40
Cheyenne,7
Clear Creek,22
Conejos,0
Costilla,4
Crowley,7
Custer,7
Delta,59
Denver,43
Dolores,7
Douglas,36
Eagle,50
Elbert,16
El Paso,34
Fremont,17
Garfield,53
Gilpin,7
Grand,23
Gunnison,14
Hinsdale,7
Huerfano,8
Jackson,7
Jefferson,41
Kiowa,7
Kit Carson,12
Lake,0
La Plata,38
Larimer,46
Las Animas,10
Lincoln,5
Logan,36
Mesa,47
Mineral,7
Moffat,9
Montezuma,46
Montrose,24
Morgan,39
Otero,38
Ouray,7
Park,26
Phillips,7
Pitkin,29
Prowers,21
Pueblo,39
Rio Blanco,16
Rio Grande,22
Routt,36
Saguache,3
San Juan,7
San Miguel,28
Sedgwick,7
Summit,56
Teller,38
Washington,7
Weld,44
Yuma,35
Fairfield,54
Hartford,55
Litchfield,40
Middlesex,50
New Haven,52
New London,49
Tolland,46
Windham,48
Kent,27
New Castle,41
Sussex,37
District of Columbia,64
Alachua,34
Baker,26
Bay,37
Bradford,27
Brevard,41
Broward,47
Calhoun,39
Charlotte,41
Citrus,30
Clay,35
Collier,44
Columbia,35
DeSoto,51
Dixie,29
Duval,45
Escambia,36
Flagler,21
