County_Name,pct_smokers
Autauga,18
Baldwin,17
Barbour,21
Bibb,19
Blount,19
Bullock,22
Butler,21
Calhoun,20
Chambers,19
Cherokee,17
Chilton,20
Choctaw,18
Clarke,20
Clay,19
Cleburne,18
Coffee,17
Colbert,18
Conecuh,21
Coosa,20
Covington,19
Crenshaw,18
Cullman,17
Dale,20
Dallas,24
DeKalb,21
Elmore,17
Escambia,22
Etowah,20
Fayette,18
Franklin,19
Geneva,20
Greene,24
Hale,22
Henry,18
Houston,19
Jackson,19
Jefferson,17
Lamar,20
Lauderdale,16
Lawrence,20
Lee,17
Limestone,18
Lowndes,22
Macon,21
Madison,16
Marengo,21
Marion,19
Marshall,21
Mobile,19
Monroe,23
Montgomery,19
Morgan,18
Perry,26
Pickens,21
Pike,20
Randolph,18
Russell,21
St. Clair,18
Shelby,15
Sumter,22
Talladega,23
Tallapoosa,18
Tuscaloosa,17
Walker,22
Washington,20
Wilcox,22
Winston,19
Aleutians East,16
Aleutians West,15
Anchorage,15
Bethel,30
Bristol Bay,18
Denali,17
Dillingham,26
Fairbanks North Star,15
Haines,16
Hoonah-Angoon,20
Juneau,16
Kenai Peninsula,17
Ketchikan Gateway,16
Kodiak Island,15
Kusilvak,41
Lake and Peninsula,28
Matanuska-Susitna,17
Nome,31
North Slope,23
Northwest Arctic,30
Petersburg,15
Prince of Wales-Hyder,22
Sitka,16
Skagway,15
Southeast Fairbanks,19
Valdez-Cordova,16
Wrangell,17
Yakutat,19
Yukon-Koyukuk,29
Apache,21
Cochise,14
Coconino,15
Gila,17
Graham,17
Greenlee,14
La Paz,15
Maricopa,13
Mohave,19
Navajo,20
Pima,14
Pinal,16
Santa Cruz,14
Yavapai,17
Yuma,13
Arkansas,20
Ashley,20
Baxter,16
Benton,16
Boone,19
Bradley,21
Calhoun,20
Carroll,18
Chicot,23
Clark,19
Clay,20
Cleburne,17
Cleveland,19
Columbia,20
Conway,19
Craighead,20
Crawford,19
Crittenden,23
Cross,20
Dallas,19
Desha,24
Drew,20
Faulkner,20
Franklin,21
Fulton,20
Garland,19
Grant,18
Greene,19
Hempstead,22
Hot Spring,20
Howard,21
Independence,19
Izard,19
Jackson,22
Jefferson,21
Johnson,20
Lafayette,20
Lawrence,19
Lee,24
Lincoln,22
Little River,21
Logan,20
Lonoke,18
Madison,20
Marion,19
Miller,21
Mississippi,23
Monroe,22
Montgomery,18
Nevada,21
Newton,19
Ouachita,22
Perry,18
Phillips,24
Pike,20
Poinsett,21
Polk,20
Pope,19
Prairie,18
Pulaski,18
Randolph,20
St. Francis,24
Saline,16
Scott,20
Searcy,19
Sebastian,21
Sevier,19
Sharp,21
Stone,20
Union,19
Van Buren,18
Washington,18
White,19
Woodruff,21
Yell,20
Alameda,9
Alpine,14
Amador,10
Butte,13
Calaveras,10
Colusa,12
Contra Costa,9
Del Norte,15
El Dorado,11
Fresno,13
Glenn,13
Humboldt,14
Imperial,12
Inyo,11
Kern,15
Kings,14
Lake,14
Lassen,13
Los Angeles,10
Madera,13
Marin,9
Mariposa,11
Mendocino,12
Merced,14
Modoc,13
Mono,11
Monterey,12
Napa,9
Nevada,11
Orange,9
Placer,9
Plumas,11
Riverside,12
Sacramento,11
San Benito,10
San Bernardino,12
