County_Name,pct_unemployed
Autauga,3
Baldwin,3
Barbour,5
Bibb,3
Blount,3
Bullock,4
Butler,4
Calhoun,4
Chambers,3
Cherokee,3
Chilton,3
Choctaw,5
Clarke,7
Clay,3
Cleburne,4
Coffee,3
Colbert,4
Conecuh,5
Coosa,4
Covington,4
Crenshaw,4
Cullman,3
Dale,4
Dallas,6
DeKalb,3
Elmore,3
Escambia,4
Etowah,4
Fayette,4
Franklin,3
Geneva,3
Greene,6
Hale,5
Henry,4
Houston,4
Jackson,4
Jefferson,3
Lamar,3
Lauderdale,4
Lawrence,4
Lee,3
Limestone,3
Lowndes,7
Macon,5
Madison,3
Marengo,5
Marion,4
Marshall,3
Mobile,4
Monroe,6
Montgomery,3
Morgan,3
Perry,6
Pickens,4
Pike,4
Randolph,4
Russell,4
St. Clair,3
Shelby,2
Sumter,5
Talladega,4
Tallapoosa,4
Tuscaloosa,3
Walker,4
Washington,5
Wilcox,9
Winston,4
Aleutians East,2
Aleutians West,3
Anchorage,5
Bethel,12
Bristol Bay,6
Denali,7
Dillingham,8
Fairbanks North Star,5
Haines,9
Hoonah-Angoon,12
Juneau,4
Kenai Peninsula,7
Ketchikan Gateway,6
Kodiak Island,5
Kusilvak,19
Lake and Peninsula,11
Matanuska-Susitna,7
Nome,11
North Slope,7
Northwest Arctic,14
Petersburg,8
Prince of Wales-Hyder,10
Sitka,4
Skagway,9
Southeast Fairbanks,9
Valdez-Cordova,7
Wrangell,7
Yakutat,8
Yukon-Koyukuk,15
Apache,10
Cochise,5
Coconino,5
Gila,5
Graham,5
Greenlee,4
La Paz,6
Maricopa,4
Mohave,5
Navajo,7
Pima,4
Pinal,5
Santa Cruz,9
Yavapai,4
Yuma,17
Arkansas,3
Ashley,5
Baxter,4
Benton,2
Boone,3
Bradley,4
Calhoun,3
Carroll,3
Chicot,6
Clark,3
Clay,4
Cleburne,4
Cleveland,3
Columbia,4
Conway,4
Craighead,3
Crawford,3
Crittenden,4
Cross,4
Dallas,4
Desha,4
Drew,5
Faulkner,3
Franklin,3
Fulton,3
Garland,4
Grant,3
Greene,3
Hempstead,3
Hot Spring,3
Howard,3
Independence,4
Izard,5
Jackson,6
Jefferson,5
Johnson,4
Lafayette,5
Lawrence,3
Lee,4
Lincoln,4
Little River,5
Logan,4
Lonoke,3
Madison,2
Marion,4
Miller,4
Mississippi,5
Monroe,4
Montgomery,4
Nevada,3
Newton,3
Ouachita,4
Perry,4
Phillips,6
Pike,4
Poinsett,3
Polk,4
Pope,4
Prairie,3
Pulaski,3
Randolph,3
St. Francis,5
Saline,3
Scott,3
Searcy,4
Sebastian,3
Sevier,4
Sharp,4
Stone,4
Union,5
Van Buren,5
Washington,2
White,4
Woodruff,4
Yell,4
Alameda,2
Alpine,4
Amador,4
Butte,4
Calaveras,3
Colusa,12
Contra Costa,3
Del Norte,5
El Dorado,3
Fresno,7
Glenn,6
Humboldt,3
Imperial,18
Inyo,3
Kern,7
Kings,7
Lake,5
Lassen,4
Los Angeles,4
Madera,7
Marin,2
Mariposa,5
Mendocino,3
Merced,8
Modoc,7
Mono,3
Monterey,6
Napa,2
Nevada,3
Orange,2
Placer,3
Plumas,7
Riverside,4
Sacramento,3
San Benito,5
San Bernardino,4
San Diego,3
San Francisco,2
San Joaquin,5
San Luis Obispo,2
San Mateo,2
Santa Barbara,3
Santa Clara,2
Santa Cruz,4
Shasta,4
Sierra,6
Siskiyou,6
Solano,3
Sonoma,2
Stanislaus,6
Sutter,7
Tehama,5
Trinity,5
Tulare,9
Tuolumne,4
Ventura,3
Yolo,4
Yuba,6
Adams,3
Alamosa,4
Arapahoe,3
Archuleta,3
Baca,1
Bent,3
Boulder,2
Broomfield,2
Chaffee,2
Cheyenne,1
Clear Creek,3
Conejos,4
Costilla,4
Crowley,4
Custer,3
Delta,3
Denver,3
Dolores,2
Douglas,2
Eagle,2
Elbert,2
El Paso,3
Fremont,5
Garfield,3
Gilpin,2
Grand,2
Gunnison,2
Hinsdale,2
Huerfano,6
Jackson,2
Jefferson,3
Kiowa,1
Kit Carson,2
Lake,2
La Plata,3
Larimer,2
Las Animas,4
Lincoln,2
Logan,2
Mesa,4
